usuario_id,ingreso_mensual,gasto_mensual_promedio,deuda_mensual,ahorro_mensual_estimado,porcentaje_gastos_ingreso,nivel_endeudamiento,porcentaje_ahorro_ingreso,frecuencia_ahorro,perfil_financiero,estado
USR0166,5371.89,3698.94,515.61,1672.95,68.86,9.6,31.14,Alta,En observación,ACTIVO
USR0167,2676.85,2186.6,1233.86,490.25,81.69,46.09,18.31,Media,En riesgo,ACTIVO
USR0168,4090.66,2427.45,829.95,1663.21,59.34,20.29,40.66,Alta,En observación,ACTIVO
USR0169,2179.58,1396.54,1222.35,783.03,64.07,56.08,35.93,Alta,En riesgo,ACTIVO
USR0170,3564.89,1399.88,245.23,2165.01,39.27,6.88,60.73,Alta,Saludable,ACTIVO
USR0171,3196.76,2428.75,660.47,768.01,75.98,20.66,24.02,Alta,En observación,ACTIVO
USR0172,4465.89,3319.5,725.89,1146.39,74.33,16.25,25.67,Alta,En observación,ACTIVO
USR0173,2170.71,1351.5,282.83,819.21,62.26,13.03,37.74,Alta,En observación,ACTIVO
USR0174,4235.56,3519.12,760.67,716.43,83.09,17.96,16.91,Media,En observación,ACTIVO
USR0175,6100.99,3647.07,645.6,2453.92,59.78,10.58,40.22,Alta,Saludable,ACTIVO
USR0176,2224.84,1940.95,530.65,283.89,87.24,23.85,12.76,Media,En riesgo,ACTIVO
USR0177,6312.33,4266.21,337.68,2046.11,67.59,5.35,32.41,Alta,En observación,ACTIVO
USR0178,4580.61,3257.37,551.94,1323.24,71.11,12.05,28.89,Alta,En observación,ACTIVO
USR0179,6856.9,6103.54,2078.3,753.36,89.01,30.31,10.99,Media,En riesgo,ACTIVO
USR0180,4657.34,3192.88,888.8,1464.47,68.56,19.08,31.44,Alta,En observación,ACTIVO
USR0181,5850.37,3303.9,2811.62,2546.47,56.47,48.06,43.53,Alta,En riesgo,ACTIVO
USR0182,2278.64,1010.89,9.27,1267.75,44.36,0.41,55.64,Alta,Saludable,ACTIVO
USR0183,4467.16,3464.65,1258.56,1002.51,77.56,28.17,22.44,Alta,En observación,ACTIVO
USR0184,1667.74,1030.46,281.1,637.29,61.79,16.86,38.21,Alta,En observación,ACTIVO
USR0185,2171.9,1410.53,325.56,761.37,64.94,14.99,35.06,Alta,En observación,ACTIVO
USR0186,4564.94,2465.79,1927.31,2099.15,54.02,42.22,45.98,Alta,En riesgo,ACTIVO
USR0187,6845.61,3833.9,2744.72,3011.71,56.01,40.09,43.99,Alta,En riesgo,ACTIVO
USR0188,3160.98,1857.3,1565.53,1303.68,58.76,49.53,41.24,Alta,En riesgo,ACTIVO
USR0189,4950.67,2666.22,1940.56,2284.46,53.86,39.2,46.14,Alta,En riesgo,ACTIVO
USR0190,3853.39,3521.44,975.28,331.95,91.39,25.31,8.61,Baja,En riesgo,ACTIVO
USR0191,2249.55,1122.86,210.91,1126.69,49.91,9.38,50.09,Alta,Saludable,ACTIVO
USR0192,3138.93,2175.29,474.0,963.64,69.3,15.1,30.7,Alta,En observación,ACTIVO
USR0193,2559.65,1585.62,957.03,974.03,61.95,37.39,38.05,Alta,En riesgo,ACTIVO
USR0194,3581.28,1653.27,105.73,1928.01,46.16,2.95,53.84,Alta,Saludable,ACTIVO
USR0195,3823.53,2535.93,797.23,1287.6,66.32,20.85,33.68,Alta,En observación,INACTIVO
USR0196,3196.29,2489.07,896.26,707.22,77.87,28.04,22.13,Alta,En observación,ACTIVO
USR0197,6035.93,4361.86,1475.03,1674.07,72.26,24.44,27.74,Alta,En observación,ACTIVO
USR0198,3006.42,2076.03,523.52,930.4,69.05,17.41,30.95,Alta,En observación,ACTIVO
USR0199,6775.07,5555.9,1298.7,1219.17,82.01,19.17,17.99,Media,En observación,ACTIVO
USR0200,4060.86,3296.59,1020.83,764.27,81.18,25.14,18.82,Media,En observación,ACTIVO
USR0201,2921.66,1762.25,439.61,1159.41,60.32,15.05,39.68,Alta,En observación,ACTIVO
USR0202,4790.09,2791.31,2495.84,1998.77,58.27,52.1,41.73,Alta,En riesgo,ACTIVO
USR0203,2721.65,1433.24,54.99,1288.4,52.66,2.02,47.34,Alta,Saludable,ACTIVO
USR0204,4612.44,3428.19,874.99,1184.25,74.32,18.97,25.68,Alta,En observación,ACTIVO
USR0205,3491.7,2340.77,296.29,1150.93,67.04,8.49,32.96,Alta,En observación,ACTIVO
USR0206,2245.79,1535.42,298.74,710.37,68.37,13.3,31.63,Alta,En observación,ACTIVO
USR0207,6169.99,5429.66,705.0,740.33,88.0,11.43,12.0,Media,En riesgo,ACTIVO
USR0208,5351.24,2696.44,3059.13,2654.8,50.39,57.17,49.61,Alta,En riesgo,ACTIVO
USR0209,3530.34,2676.19,873.26,854.15,75.81,24.74,24.19,Alta,En observación,ACTIVO
USR0210,2054.75,1399.0,158.65,655.75,68.09,7.72,31.91,Alta,En observación,ACTIVO
USR0211,2801.86,1404.98,106.07,1396.88,50.14,3.79,49.86,Alta,Saludable,ACTIVO
USR0212,2633.39,1178.39,1380.18,1455.01,44.75,52.41,55.25,Alta,En riesgo,ACTIVO
USR0213,4483.97,3436.5,965.85,1047.47,76.64,21.54,23.36,Alta,En observación,ACTIVO
USR0214,6980.25,3294.35,424.74,3685.9,47.2,6.08,52.8,Alta,Saludable,ACTIVO
USR0215,3620.28,2922.29,1079.53,697.99,80.72,29.82,19.28,Media,En observación,ACTIVO
USR0216,1851.07,1501.41,262.53,349.66,81.11,14.18,18.89,Media,En observación,ACTIVO
USR0217,5079.8,3722.3,802.79,1357.5,73.28,15.8,26.72,Alta,En observación,ACTIVO
USR0218,4023.32,2391.36,218.44,1631.96,59.44,5.43,40.56,Alta,Saludable,ACTIVO
USR0219,1879.63,1742.64,322.92,136.99,92.71,17.18,7.29,Baja,En riesgo,ACTIVO
USR0220,4721.26,2577.64,2719.37,2143.63,54.6,57.6,45.4,Alta,En riesgo,ACTIVO
USR0221,6503.2,6106.03,1374.38,397.16,93.89,21.13,6.11,Baja,En riesgo,ACTIVO
USR0222,4300.22,2668.21,1831.67,1632.0,62.05,42.59,37.95,Alta,En riesgo,ACTIVO
USR0223,2259.19,2153.38,339.51,105.81,95.32,15.03,4.68,Baja,En riesgo,ACTIVO
USR0224,4820.55,3944.4,514.62,876.15,81.82,10.68,18.18,Media,En observación,ACTIVO
USR0225,2625.72,2140.36,439.96,485.36,81.52,16.76,18.48,Media,En observación,ACTIVO
USR0226,5529.97,2841.54,2822.62,2688.43,51.38,51.04,48.62,Alta,En riesgo,ACTIVO
USR0227,2631.03,1744.95,115.27,886.08,66.32,4.38,33.68,Alta,En observación,ACTIVO
USR0228,4579.21,3224.38,576.07,1354.83,70.41,12.58,29.59,Alta,En observación,ACTIVO
USR0229,4437.81,2994.11,1277.93,1443.7,67.47,28.8,32.53,Alta,En observación,ACTIVO
USR0230,4640.13,2588.73,441.69,2051.41,55.79,9.52,44.21,Alta,Saludable,ACTIVO
USR0231,5598.01,2238.8,626.8,3359.21,39.99,11.2,60.01,Alta,Saludable,ACTIVO
USR0232,4639.39,2885.83,184.69,1753.56,62.2,3.98,37.8,Alta,En observación,ACTIVO
USR0233,2398.32,1402.55,421.99,995.78,58.48,17.6,41.52,Alta,Saludable,ACTIVO
USR0234,2055.0,1276.78,323.51,778.22,62.13,15.74,37.87,Alta,En observación,ACTIVO
USR0235,1261.89,994.98,261.81,266.91,78.85,20.75,21.15,Alta,En observación,ACTIVO
USR0236,4538.1,2814.72,292.5,1723.38,62.02,6.45,37.98,Alta,En observación,ACTIVO
USR0237,3676.69,2469.65,333.53,1207.04,67.17,9.07,32.83,Alta,En observación,ACTIVO
USR0238,4612.48,4331.39,1399.19,281.09,93.91,30.33,6.09,Baja,En riesgo,ACTIVO
USR0239,5913.96,2946.32,476.96,2967.65,49.82,8.06,50.18,Alta,Saludable,ACTIVO
USR0240,2256.78,1245.08,398.52,1011.7,55.17,17.66,44.83,Alta,Saludable,ACTIVO
USR0241,4332.92,2650.7,456.63,1682.23,61.18,10.54,38.82,Alta,En observación,ACTIVO
USR0242,2657.01,1856.91,463.1,800.1,69.89,17.43,30.11,Alta,En observación,ACTIVO
USR0243,5106.19,4359.69,2237.05,746.5,85.38,43.81,14.62,Media,En riesgo,ACTIVO
USR0244,4058.01,2788.33,489.69,1269.67,68.71,12.07,31.29,Alta,En observación,ACTIVO
USR0245,2205.35,1512.54,260.12,692.81,68.59,11.79,31.41,Alta,En observación,ACTIVO
USR0246,2662.52,2297.1,1294.34,365.41,86.28,48.61,13.72,Media,En riesgo,ACTIVO
USR0247,1522.6,1169.18,166.48,353.42,76.79,10.93,23.21,Alta,En observación,ACTIVO
USR0248,5095.95,1927.93,399.07,3168.02,37.83,7.83,62.17,Alta,Saludable,ACTIVO
USR0249,3620.41,3008.76,1317.36,611.65,83.11,36.39,16.89,Media,En riesgo,ACTIVO
USR0250,3343.56,2485.19,848.69,858.37,74.33,25.38,25.67,Alta,En observación,ACTIVO
USR0251,5101.82,3538.65,995.62,1563.18,69.36,19.51,30.64,Alta,En observación,ACTIVO
USR0252,1807.12,1368.74,285.37,438.37,75.74,15.79,24.26,Alta,En observación,ACTIVO
USR0253,6099.77,3432.9,412.14,2666.87,56.28,6.76,43.72,Alta,Saludable,ACTIVO
USR0254,4414.68,3185.93,938.17,1228.76,72.17,21.25,27.83,Alta,En observación,ACTIVO
USR0255,4464.82,3962.96,971.0,501.86,88.76,21.75,11.24,Media,En riesgo,ACTIVO
USR0256,4631.36,3290.57,1263.57,1340.79,71.05,27.28,28.95,Alta,En observación,ACTIVO
USR0257,5872.28,3316.25,591.07,2556.04,56.47,10.07,43.53,Alta,Saludable,ACTIVO
USR0258,3200.76,2227.56,275.04,973.2,69.59,8.59,30.41,Alta,En observación,ACTIVO
USR0259,5607.23,3739.0,2030.83,1868.23,66.68,36.22,33.32,Alta,En riesgo,ACTIVO
USR0260,5730.7,3768.71,2883.66,1961.99,65.76,50.32,34.24,Alta,En riesgo,ACTIVO
USR0261,5551.68,4234.14,1486.14,1317.54,76.27,26.77,23.73,Alta,En observación,ACTIVO
USR0262,6283.75,5238.57,1298.43,1045.18,83.37,20.66,16.63,Media,En observación,ACTIVO
USR0263,4843.98,2616.64,1807.55,2227.34,54.02,37.32,45.98,Alta,En riesgo,ACTIVO
USR0264,3935.75,1993.48,483.12,1942.27,50.65,12.28,49.35,Alta,Saludable,ACTIVO
USR0265,3518.79,2912.72,1574.26,606.07,82.78,44.74,17.22,Media,En riesgo,ACTIVO
USR0266,2197.65,1261.75,238.47,935.89,57.41,10.85,42.59,Alta,Saludable,ACTIVO
USR0267,3245.51,2401.07,702.04,844.45,73.98,21.63,26.02,Alta,En observación,ACTIVO
USR0268,4228.42,3852.46,579.65,375.96,91.11,13.71,8.89,Baja,En riesgo,ACTIVO
