usuario_id,ingreso_mensual,deuda_mensual,nivel_endeudamiento,gasto_mensual_promedio,ahorro_mensual_estimado,porcentaje_gastos_ingreso,frecuencia_ahorro,perfil_financiero
USR0109,2597.84,1023.52,39.4,1703.13,-128.81,65.56,Nunca,En observación
USR0110,3323.97,379.1,11.41,1924.59,1020.28,57.9,Alta,Saludable
USR0111,2486.71,233.74,9.4,2136.69,116.28,85.92,Baja,En riesgo
USR0112,5811.96,884.32,15.22,3515.62,1412.02,60.49,Alta,En observación
USR0113,3924.74,925.86,23.59,2652.25,346.64,67.58,Baja,En observación
USR0114,4056.78,1478.09,36.44,3087.56,-508.87,76.11,Nunca,En riesgo
USR0115,2657.38,346.63,13.04,1533.02,777.73,57.69,Alta,Saludable
USR0116,3787.72,655.12,17.3,2704.94,427.66,71.41,Media,En observación
USR0117,3674.55,625.35,17.02,2525.56,523.64,68.73,Media,En observación
USR0118,3509.12,168.89,4.81,3036.36,303.88,86.53,Baja,En observación
USR0119,5056.53,2619.9,51.81,3971.89,-1535.27,78.55,Nunca,En riesgo
USR0120,2328.06,380.22,16.33,1281.25,666.59,55.04,Alta,Saludable
USR0121,3870.06,1079.77,27.9,2640.77,149.51,68.24,Baja,En observación
USR0122,4032.41,713.46,17.69,2455.06,863.88,60.88,Alta,En observación
USR0123,3104.38,441.47,14.22,2028.07,634.83,65.33,Alta,En observación
USR0124,3042.22,724.49,23.81,2140.16,177.56,70.35,Baja,En observación
USR0125,4906.96,2001.09,40.78,3281.5,-375.64,66.87,Nunca,En riesgo
USR0126,5177.18,4.59,0.09,2226.65,2945.95,43.01,Alta,Saludable
USR0127,1802.43,345.82,19.19,1372.76,83.85,76.16,Baja,En riesgo
USR0128,1792.24,219.09,12.22,1161.83,411.32,64.83,Alta,En observación
USR0129,6270.45,632.77,10.09,3109.71,2527.97,49.59,Alta,Saludable
USR0130,4995.89,1066.0,21.34,3489.18,440.71,69.84,Baja,En observación
USR0131,3221.34,863.74,26.81,2482.1,-124.51,77.05,Nunca,En riesgo
USR0132,4207.11,458.29,10.89,2660.37,1088.45,63.24,Alta,En observación
USR0133,3674.32,740.32,20.15,3128.65,-194.65,85.15,Nunca,En riesgo
USR0134,2414.33,360.74,14.94,1098.65,954.93,45.51,Alta,Saludable
USR0135,4986.2,2432.68,48.79,3762.92,-1209.4,75.47,Nunca,En riesgo
USR0136,2129.5,132.62,6.23,1294.45,702.43,60.79,Alta,En observación
USR0137,4551.33,1661.22,36.5,3603.51,-713.4,79.17,Nunca,En riesgo
USR0138,2285.97,748.42,32.74,1873.09,-335.54,81.94,Nunca,En riesgo
USR0139,6441.38,873.69,13.56,5629.11,-61.42,87.39,Nunca,En riesgo
USR0140,6678.94,993.9,14.88,3314.12,2370.91,49.62,Alta,Saludable
USR0141,6958.03,2829.37,40.66,5979.25,-1850.59,85.93,Nunca,En riesgo
USR0142,2423.19,481.51,19.87,1622.05,319.63,66.94,Media,En observación
USR0143,4251.61,87.17,2.05,2277.29,1887.15,53.56,Alta,Saludable
USR0144,4542.57,879.87,19.37,3429.67,233.03,75.5,Baja,En observación
USR0145,2157.69,860.52,39.88,1189.92,107.25,55.15,Baja,En observación
USR0146,6306.73,1061.8,16.84,4129.25,1115.68,65.47,Media,En observación
USR0147,3573.22,848.45,23.74,2474.26,250.5,69.24,Baja,En observación
USR0148,6562.68,897.98,13.68,4072.77,1591.94,62.06,Alta,En observación
USR0149,4774.57,567.16,11.88,4628.13,-420.71,96.93,Nunca,En riesgo
USR0150,5995.64,508.84,8.49,3800.43,1686.38,63.39,Alta,En observación
USR0151,2152.22,193.99,9.01,1445.32,512.91,67.15,Alta,En observación
USR0152,3149.59,323.13,10.26,1626.61,1199.85,51.65,Alta,Saludable
USR0153,3127.39,675.96,21.61,2158.09,293.35,69.01,Baja,En observación
USR0154,4438.13,469.24,10.57,3996.74,-27.84,90.05,Nunca,En riesgo
USR0155,5571.75,1155.56,20.74,3126.56,1289.63,56.11,Alta,En observación
USR0156,4731.99,915.96,19.36,2674.14,1141.89,56.51,Alta,Saludable
USR0157,6005.26,1168.85,19.46,3728.72,1107.69,62.09,Media,En observación
USR0158,2925.21,343.25,11.73,2313.22,268.73,79.08,Baja,En observación
USR0159,5422.88,611.59,11.28,3011.17,1800.12,55.53,Alta,Saludable
USR0160,4321.19,381.91,8.84,2903.14,1036.14,67.18,Alta,En observación
USR0161,5000.27,372.54,7.45,2749.06,1878.67,54.98,Alta,Saludable
USR0162,4175.05,992.05,23.76,3120.88,62.12,74.75,Baja,En observación
USR0163,3527.76,625.95,17.74,2589.53,312.28,73.4,Baja,En observación
USR0164,2924.57,575.67,19.68,1765.21,583.69,60.36,Media,En observación
USR0165,5458.57,992.87,18.19,3908.32,557.38,71.6,Media,En observación
USR0166,3537.24,1408.73,39.83,2843.62,-715.11,80.39,Nunca,En riesgo
USR0167,5603.96,1095.22,19.54,4336.65,172.09,77.39,Baja,En riesgo
USR0168,6043.57,1447.94,23.96,4734.55,-138.91,78.34,Nunca,En riesgo
USR0169,4340.21,806.67,18.59,3138.9,394.64,72.32,Baja,En observación
USR0170,3426.4,739.23,21.57,1844.41,842.75,53.83,Alta,En observación
USR0171,4658.85,515.23,11.06,2998.57,1145.05,64.36,Alta,En observación
USR0172,4205.94,810.31,19.27,3512.49,-116.87,83.51,Nunca,En riesgo
USR0173,6310.31,682.45,10.81,3645.25,1982.61,57.77,Alta,Saludable
USR0174,2177.83,530.65,24.37,1907.45,-260.26,87.58,Nunca,En riesgo
USR0175,6443.28,396.03,6.15,4038.27,2008.98,62.67,Alta,En observación
USR0176,4771.54,576.59,12.08,3231.85,963.1,67.73,Alta,En observación
USR0177,6959.4,2078.3,29.86,6036.16,-1155.06,86.73,Nunca,En riesgo
USR0178,4649.86,939.55,20.21,3132.19,578.12,67.36,Media,En observación
USR0179,5896.72,2811.62,47.68,3292.16,-207.06,55.83,Nunca,En riesgo
USR0180,2311.09,9.27,0.4,1059.04,1242.78,45.82,Alta,Saludable
USR0181,4520.02,690.52,15.28,3379.17,450.33,74.76,Baja,En observación
USR0182,1591.8,284.82,17.89,994.44,312.53,62.47,Media,En observación
USR0183,2292.27,333.84,14.56,1348.09,610.34,58.81,Alta,Saludable
USR0184,4740.1,1927.31,40.66,2444.73,368.05,51.58,Baja,En riesgo
USR0185,6756.93,2744.72,40.62,3710.56,301.65,54.91,Baja,En riesgo
USR0186,3020.37,1565.53,51.83,1893.63,-438.79,62.7,Nunca,En riesgo
USR0187,4952.19,1940.56,39.19,2630.12,381.51,53.11,Baja,En observación
USR0188,3743.28,975.28,26.05,3615.48,-847.48,96.59,Nunca,En riesgo
USR0189,2130.75,210.91,9.9,1171.38,748.46,54.97,Alta,Saludable
USR0190,3151.13,519.55,16.49,2086.16,545.42,66.2,Media,En observación
USR0191,2481.43,957.03,38.57,1586.14,-61.74,63.92,Nunca,En observación
USR0192,3614.02,105.73,2.93,1748.11,1760.18,48.37,Alta,Saludable
USR0193,3790.72,829.26,21.88,2595.14,366.33,68.46,Baja,En observación
USR0194,3208.03,588.71,18.35,2364.8,254.52,73.71,Baja,En observación
USR0195,6480.12,1576.45,24.33,5877.67,-974.0,90.7,Nunca,En riesgo
USR0196,4826.53,43.13,0.89,2189.32,2594.08,45.36,Alta,Saludable
USR0197,6242.01,1284.33,20.58,3747.1,1210.59,60.03,Media,En observación
USR0198,2045.52,977.58,47.79,1654.03,-586.09,80.86,Nunca,En riesgo
USR0199,6933.43,534.11,7.7,2854.31,3545.01,41.17,Alta,Saludable
USR0200,2025.69,699.87,34.55,1348.69,-22.87,66.58,Nunca,En observación
USR0201,2776.21,54.99,1.98,1417.64,1303.58,51.06,Alta,Saludable
USR0202,4901.5,1040.79,21.23,3537.36,323.35,72.17,Baja,En observación
USR0203,3439.41,320.89,9.33,2344.1,774.42,68.15,Alta,En observación
USR0204,2260.16,309.33,13.69,1467.7,483.13,64.94,Alta,En observación
USR0205,6173.72,705.0,11.42,5522.46,-53.73,89.45,Nunca,En riesgo
USR0206,5230.23,3059.13,58.49,2785.83,-614.73,53.26,Nunca,En riesgo
USR0207,3432.08,888.05,25.88,2583.62,-39.59,75.28,Nunca,En riesgo
USR0208,2224.87,174.75,7.85,1351.65,698.47,60.75,Alta,En observación
USR0209,2752.21,106.07,3.85,1503.06,1143.09,54.61,Alta,Saludable
USR0210,2612.02,1380.18,52.84,1231.22,0.62,47.14,Baja,En riesgo
USR0211,4387.55,804.28,18.33,3369.28,213.98,76.79,Baja,En riesgo
USR0212,6945.77,424.74,6.12,3582.71,2938.32,51.58,Alta,Saludable
USR0213,3648.83,1079.93,29.6,2776.69,-207.79,76.1,Nunca,En riesgo
USR0214,1892.21,292.12,15.44,1454.84,145.25,76.89,Baja,En observación
USR0215,4868.86,868.81,17.84,3668.48,331.57,75.35,Baja,En observación
USR0216,4278.91,255.64,5.97,2248.97,1774.3,52.56,Alta,Saludable
USR0217,1877.95,322.92,17.2,1771.88,-216.85,94.35,Nunca,En riesgo
USR0218,4675.3,2719.37,58.16,2658.78,-702.85,56.87,Nunca,En riesgo
USR0219,6557.87,1374.38,20.96,6214.83,-1031.34,94.77,Nunca,En riesgo
USR0220,4270.73,1831.67,42.89,2781.86,-342.81,65.14,Nunca,En riesgo
USR0221,2381.96,339.51,14.25,2060.21,-17.76,86.49,Nunca,En riesgo
USR0222,4857.28,605.74,12.47,4031.42,220.12,83.0,Baja,En riesgo
USR0223,2794.09,472.73,16.92,2129.94,191.42,76.23,Baja,En observación
USR0224,5546.93,2822.62,50.89,2758.57,-34.26,49.73,Nunca,En riesgo
USR0225,2623.0,141.01,5.38,1685.85,796.14,64.27,Alta,En observación
USR0226,4427.41,651.39,14.71,3248.81,527.22,73.38,Media,En observación
USR0227,4453.14,1278.14,28.7,3126.62,48.38,70.21,Baja,En observación
USR0228,4642.53,473.54,10.2,2622.07,1546.92,56.48,Alta,Saludable
USR0229,5585.5,626.8,11.22,2411.82,2546.88,43.18,Alta,Saludable
USR0230,4418.3,228.09,5.16,2795.78,1394.43,63.28,Alta,En observación
USR0231,2369.04,426.4,18.0,1420.18,522.45,59.95,Alta,Saludable
USR0232,1887.78,328.45,17.4,1186.77,372.56,62.87,Media,En observación
USR0233,1256.04,272.86,21.72,990.33,-7.15,78.85,Nunca,En riesgo
USR0234,4537.65,331.06,7.3,2648.73,1557.86,58.37,Alta,Saludable
USR0235,3666.45,359.45,9.8,2354.9,952.09,64.23,Alta,En observación
USR0236,4514.74,1399.19,30.99,4216.89,-1101.33,93.4,Nunca,En riesgo
USR0237,5967.09,476.96,7.99,3009.35,2480.78,50.43,Alta,Saludable
USR0238,2171.44,402.82,18.55,1208.57,560.05,55.66,Alta,Saludable
USR0239,4431.47,484.2,10.93,2595.04,1352.23,58.56,Alta,Saludable
USR0240,2803.33,470.19,16.77,1832.04,501.1,65.35,Media,En observación
USR0241,4978.31,2237.05,44.94,4406.11,-1664.85,88.51,Nunca,En riesgo
USR0242,3894.95,510.48,13.11,2643.45,741.02,67.87,Media,En observación
USR0243,2208.33,271.63,12.3,1514.75,421.94,68.59,Media,En observación
USR0244,2816.96,1315.08,46.68,2229.63,-727.75,79.15,Nunca,En riesgo
USR0245,1550.44,193.76,12.5,1150.21,206.47,74.19,Media,En observación
USR0246,5043.88,399.07,7.91,2171.28,2473.54,43.05,Alta,Saludable
USR0247,3500.13,1317.36,37.64,2902.67,-719.9,82.93,Nunca,En riesgo
USR0248,3423.99,656.82,19.18,2435.38,331.79,71.13,Baja,En observación
USR0249,5217.65,1000.55,19.18,3430.15,786.95,65.74,Media,En observación
USR0250,2054.7,310.73,15.12,1330.78,413.19,64.77,Alta,En observación
USR0251,6033.79,462.21,7.66,3337.78,2233.8,55.32,Alta,Saludable
USR0252,4336.78,885.05,20.41,3043.77,407.96,70.19,Baja,En observación
USR0253,4473.5,971.0,21.71,4001.91,-499.41,89.46,Nunca,En riesgo
USR0254,4691.03,1276.85,27.22,3360.68,53.5,71.64,Baja,En observación
USR0255,6103.24,630.08,10.32,3205.41,2267.75,52.52,Alta,Saludable
USR0256,3194.19,298.63,9.35,2217.6,677.95,69.43,Alta,En observación
USR0257,5809.22,2030.83,34.96,3750.89,27.49,64.57,Baja,En observación
USR0258,5675.3,2883.66,50.81,3665.27,-873.63,64.58,Nunca,En riesgo
USR0259,5614.53,964.95,17.19,4163.24,486.34,74.15,Baja,En observación
USR0260,6118.06,1298.43,21.22,5426.79,-607.15,88.7,Nunca,En riesgo
USR0261,4882.95,1807.55,37.02,2555.44,519.96,52.33,Media,En observación
USR0262,3909.15,483.12,12.36,1971.81,1454.22,50.44,Alta,Saludable
USR0263,3449.67,1574.26,45.64,2766.12,-890.71,80.18,Nunca,En riesgo
USR0264,2264.04,251.69,11.12,1272.66,739.69,56.21,Alta,Saludable
USR0265,3299.62,730.3,22.13,2511.97,57.36,76.13,Baja,En riesgo
USR0266,4245.34,579.65,13.65,3663.15,2.54,86.29,Baja,En riesgo
USR0267,2346.18,531.84,22.67,1259.39,554.96,53.68,Alta,En observación
USR0268,6390.08,124.04,1.94,2656.55,3609.49,41.57,Alta,Saludable
USR0269,1971.98,406.68,20.62,1225.17,340.13,62.13,Media,En observación
USR0270,4784.01,1000.0,20.9,3356.97,427.03,70.17,Baja,En observación
USR0271,4007.38,527.28,13.16,3909.95,-429.85,97.57,Nunca,En riesgo
USR0272,4417.6,841.92,19.06,2790.71,784.97,63.17,Media,En observación
USR0273,1650.66,286.99,17.39,1157.31,206.36,70.11,Media,En observación
USR0274,3582.64,469.73,13.11,2592.47,520.44,72.36,Media,En observación
USR0275,5378.18,1601.49,29.78,4170.54,-393.85,77.55,Nunca,En riesgo
USR0276,3174.59,1207.66,38.04,1654.22,312.71,52.11,Baja,En observación
USR0277,4463.71,1048.97,23.5,3225.95,188.79,72.27,Baja,En observación
USR0278,4493.79,1566.94,34.87,3541.34,-614.49,78.81,Nunca,En riesgo
USR0279,1845.93,337.17,18.27,1315.28,193.48,71.25,Media,En observación
USR0280,5512.78,765.39,13.88,3556.93,1190.47,64.52,Alta,En observación
USR0281,3268.24,738.03,22.58,2560.93,-30.72,78.36,Nunca,En riesgo
USR0282,3114.67,510.25,16.38,1825.81,778.62,58.62,Alta,Saludable
USR0283,2996.4,551.28,18.4,2268.95,176.17,75.72,Baja,En observación
USR0284,5683.68,717.87,12.63,2898.11,2067.7,50.99,Alta,Saludable
USR0285,3485.34,645.38,18.52,2625.84,214.12,75.34,Baja,En observación
USR0286,5880.06,92.82,1.58,3154.13,2633.11,53.64,Alta,Saludable
USR0287,2803.86,542.37,19.34,1850.68,410.8,66.0,Media,En observación
USR0288,6607.25,1237.44,18.73,4813.59,556.23,72.85,Baja,En observación
USR0289,2313.31,649.09,28.06,1863.96,-199.74,80.58,Nunca,En riesgo
USR0290,3438.53,663.52,19.3,2695.75,79.26,78.4,Baja,En riesgo
USR0291,3991.0,969.17,24.28,2808.08,213.75,70.36,Baja,En observación
USR0292,3122.09,669.93,21.46,1643.87,808.29,52.65,Alta,En observación
USR0293,4761.98,630.21,13.23,2206.89,1924.88,46.34,Alta,Saludable
USR0294,1316.25,136.81,10.39,1127.1,52.34,85.63,Baja,En riesgo
USR0295,1744.94,334.47,19.17,1309.19,101.29,75.03,Baja,En observación
USR0296,3956.11,559.83,14.15,2916.19,480.09,73.71,Media,En observación
USR0297,3473.81,1349.15,38.84,2323.14,-198.47,66.88,Nunca,En observación
USR0298,4469.48,996.35,22.29,3192.16,280.97,71.42,Baja,En observación
USR0299,4797.56,1082.2,22.56,3809.4,-94.03,79.4,Nunca,En riesgo
USR0300,2828.75,236.24,8.35,1000.62,1591.88,35.37,Alta,Saludable
USR0301,4329.79,735.86,17.0,2604.05,989.88,60.14,Alta,En observación
USR0302,6330.42,647.16,10.22,5972.12,-288.86,94.34,Nunca,En riesgo
USR0303,5291.73,555.67,10.5,4672.31,63.75,88.29,Baja,En riesgo
USR0304,3694.92,554.9,15.02,2157.87,982.15,58.4,Alta,Saludable
USR0305,4968.79,677.63,13.64,3290.85,1000.31,66.23,Alta,En observación
USR0306,3295.47,626.4,19.01,1822.19,846.88,55.29,Alta,Saludable
USR0307,5565.22,871.34,15.66,3610.25,1083.63,64.87,Media,En observación
USR0308,1564.16,618.56,39.55,1111.23,-165.63,71.04,Nunca,En observación
USR0309,4962.07,284.84,5.74,2400.43,2276.8,48.38,Alta,Saludable
USR0310,3560.56,608.38,17.09,2165.24,786.94,60.81,Alta,En observación
USR0311,5459.12,1339.12,24.53,4408.52,-288.51,80.76,Nunca,En riesgo
USR0312,3835.52,1911.58,49.84,2759.95,-836.01,71.96,Nunca,En riesgo
USR0313,5160.5,316.47,6.13,2272.97,2571.06,44.05,Alta,Saludable
USR0314,3214.14,459.64,14.3,1678.51,1075.99,52.22,Alta,Saludable
USR0315,3959.92,1109.98,28.03,2915.86,-65.91,73.63,Nunca,En observación
USR0316,3814.94,1308.83,34.31,2509.98,-3.86,65.79,Nunca,En observación
USR0317,4068.86,715.08,17.57,3548.01,-194.23,87.2,Nunca,En riesgo
USR0318,2558.82,1090.68,42.62,1566.01,-97.87,61.2,Nunca,En riesgo
USR0319,6206.93,770.67,12.42,3172.9,2263.35,51.12,Alta,Saludable
USR0320,4838.31,933.06,19.28,3568.17,337.08,73.75,Baja,En observación
USR0321,6274.55,1149.44,18.32,4602.94,522.17,73.36,Baja,En observación
USR0322,2445.19,538.34,22.02,1834.77,72.09,75.04,Baja,En riesgo
USR0323,5172.23,1008.3,19.49,2989.2,1174.72,57.79,Alta,Saludable
USR0324,2668.73,314.97,11.8,1317.48,1036.28,49.37,Alta,Saludable
USR0325,4459.26,494.25,11.08,1861.77,2103.24,41.75,Alta,Saludable
USR0326,6750.06,1697.18,25.14,5300.64,-247.75,78.53,Nunca,En riesgo
USR0327,2273.55,605.12,26.62,1772.4,-103.97,77.96,Nunca,En riesgo
USR0328,4408.88,1860.7,42.2,2397.4,150.78,54.38,Baja,En riesgo
USR0329,5680.39,206.56,3.64,2908.1,2565.73,51.2,Alta,Saludable
USR0330,5306.0,1925.14,36.28,4292.51,-911.66,80.9,Nunca,En riesgo
USR0331,5691.28,2670.8,46.93,2955.26,65.23,51.93,Baja,En riesgo
USR0332,3731.71,865.36,23.19,2740.17,126.18,73.43,Baja,En observación
USR0333,3945.14,1086.16,27.53,3042.89,-183.91,77.13,Nunca,En riesgo
USR0334,2819.48,723.96,25.68,2291.41,-195.89,81.27,Nunca,En riesgo
USR0335,4390.72,1795.07,40.88,2771.37,-175.73,63.12,Nunca,En riesgo
USR0336,5212.24,958.48,18.39,4095.04,158.72,78.57,Baja,En riesgo
USR0337,6581.81,2605.67,39.59,3800.41,175.72,57.74,Baja,En observación
USR0338,1620.8,301.87,18.62,892.81,426.12,55.08,Alta,Saludable
