transaction_id,usuario_id,fecha,descripcion,monto,moneda,categoria,recurrente,medio_pago
TX002001,USR0039,2026-03-18,Papelería,298.17,USD,Educación,No,Tarjeta de crédito
TX001305,USR0093,2025-12-20,Consulta médica,322.2,USD,Salud,No,Billetera virtual
TX001409,USR0004,2025-11-22,Análisis clínicos,116.72,USD,Salud,No,Débito automático
TX003659,USR0066,2025-10-24,Compra de herramientas,510.28,USD,Compras,No,Pago con QR
TX000666,USR0100,2026-02-19,Carga de tarjeta de transporte,27.18,USD,Transporte,No,Efectivo
TX000740,USR0003,2025-09-03,Pasaje de tren,154.47,USD,Transporte,No,Transferencia bancaria
TX003790,USR0003,2026-02-08,Compra por internet,456.13,USD,Compras,No,Débito automático
TX000587,USR0005,2025-08-20,Mantenimiento del vehículo,23.36,USD,Transporte,No,Billetera virtual
TX001463,USR0064,2025-09-15,Odontología,182.26,USD,Salud,No,Billetera virtual
TX001825,USR0054,2025-11-27,Reparación del hogar,1175.33,USD,Vivienda,No,Tarjeta de crédito
TX000675,USR0077,2025-11-12,Mantenimiento del vehículo,36.65,USD,Transporte,Sí,Pago con QR
TX001933,USR0008,2025-10-10,Materiales de construcción,1389.31,USD,Vivienda,No,Efectivo
TX001455,USR0048,2025-11-16,Kinesiología,500,USD,Salud,No,Tarjeta de crédito
TX004165,USR0068,2025-08-03,Retiro de efectivo,433.02,USD,Otros,No,Transferencia bancaria
TX001251,USR0016,2025-07-24,Seguro de salud,325.62,USD,Salud,Sí,Efectivo
TX002015,USR0051,2026-05-27,Material de estudio,253.51,USD,Educación,Sí,Débito automático
TX002450,USR0092,2026-02-21,Plataforma educativa,41.39,USD,Educación,Sí,Billetera virtual
TX003750,USR0006,2025-12-21,Compra de tecnología,350.46,USD,Compras,Sí,Billetera virtual
TX003882,USR0044,2026-06-27,Compra de cosmética,10,USD,Compras,No,Efectivo
TX004073,USR0091,2025-11-05,Donación,83.57,USD,Otros,No,Tarjeta de débito
TX004233,USR0024,2025-11-28,Transferencia personal,53.08,USD,Otros,No,Pago con QR
TX002165,USR0090,2025-10-08,Material de estudio,1000,USD,Educación,No,Débito automático
TX002722,USR0050,2025-11-07,Videojuego,270.49,USD,Ocio,No,Tarjeta de débito
TX002386,USR0023,2025-12-14,Inscripción a curso,390.9,USD,Educación,No,Efectivo
TX003042,USR0087,2025-08-05,Servicio de televisión,136.82,USD,Servicios,Sí,Tarjeta de débito
TX003112,USR0088,2026-05-26,Telefonía fija,23.94,USD,Servicios,Sí,Débito automático
TX000482,USR0047,2025-12-22,Cafetería,48.91,USD,Alimentación,No,Efectivo
TX002326,USR0069,2026-04-04,Compra de libros,520.62,USD,Educación,No,Tarjeta de débito
TX002379,USR0066,2026-04-03,Compra de libros,415.17,USD,Educación,Sí,Efectivo
TX003034,USR0056,2026-04-14,Servicio de televisión,245.34,USD,Servicios,Sí,Efectivo
TX001345,USR0077,2025-09-25,Estudio médico,160.28,USD,Salud,No,Pago con QR
TX000301,USR0085,2025-11-16,Verdulería,58.21,USD,Alimentación,No,Billetera virtual
TX001038,USR0093,2026-03-24,Medicamentos,81.93,USD,Salud,No,Tarjeta de crédito
TX003589,USR0043,2025-09-19,Compra de calzado,631.17,USD,Compras,No,Tarjeta de débito
TX002568,USR0037,2025-12-09,Entrada de cine,116.92,USD,Ocio,No,Efectivo
TX001797,USR0041,2026-06-15,Seguro del hogar,1124.97,USD,Vivienda,Sí,Transferencia bancaria
TX002526,USR0029,2025-10-14,Evento cultural,55.63,USD,Ocio,No,Pago con QR
TX001687,USR0019,2025-10-02,Hipoteca,1328.04,USD,Vivienda,Sí,Transferencia bancaria
TX002327,USR0020,2026-03-09,Curso online,551.28,USD,Educación,No,Billetera virtual
TX000839,USR0061,2026-05-04,Transporte público,39.82,USD,Transporte,No,Pago con QR
TX003682,USR0009,2025-10-19,Compra de accesorios,527.79,USD,Compras,No,Pago con QR
TX002017,USR0005,2025-09-08,Clases particulares,203.89,USD,Educación,No,Pago con QR
TX001792,USR0049,2026-04-23,Expensas,273.64,USD,Vivienda,Sí,Transferencia bancaria
TX002886,USR0027,2025-08-08,Actividad recreativa,300,USD,Ocio,No,Tarjeta de débito
TX001785,USR0059,2025-12-27,Expensas,144.68,USD,Vivienda,Sí,Efectivo
TX001217,USR0057,2025-11-11,Consulta médica,148.41,USD,Salud,No,Débito automático
TX002289,USR0052,2026-04-22,Inscripción a curso,620.36,USD,Educación,No,Efectivo
TX001545,USR0084,2026-05-14,Mantenimiento del hogar,1025.61,USD,Vivienda,No,Débito automático
TX002216,USR0036,2026-01-13,Inscripción a curso,647.1,USD,Educación,No,Tarjeta de crédito
TX003518,USR0060,2026-05-16,Compra para mascotas,253.43,USD,Compras,No,Débito automático
TX000263,USR0027,2026-07-03,Cafetería,152.08,USD,Alimentación,No,Tarjeta de débito
TX002350,USR0002,2026-02-02,Plataforma educativa,701.22,USD,Educación,Sí,Efectivo
TX001807,USR0014,2026-06-21,Hipoteca,1038.44,USD,Vivienda,Sí,Pago con QR
TX002808,USR0021,2025-07-18,Actividad recreativa,204.34,USD,Ocio,Sí,Transferencia bancaria
TX002330,USR0064,2026-03-12,Cuota educativa,521.11,USD,Educación,Sí,Débito automático
TX003712,USR0099,2025-07-22,Compra de calzado,55.24,USD,Compras,No,Pago con QR
TX001581,USR0083,2025-10-25,Compra de muebles,1075.13,USD,Vivienda,No,Billetera virtual
TX000096,USR0032,2026-04-21,Verdulería,200,USD,Alimentación,No,Billetera virtual
TX001510,USR0091,2025-07-31,Alquiler,982.42,USD,Vivienda,Sí,Billetera virtual
TX000925,USR0008,2025-12-13,Carga de tarjeta de transporte,180,USD,Transporte,No,Transferencia bancaria
TX003976,USR0074,2025-12-14,Compra para mascotas,383.33,USD,Compras,Sí,Pago con QR
TX001758,USR0066,2026-01-21,Servicio de limpieza,1159.33,USD,Vivienda,No,Tarjeta de crédito
TX002845,USR0008,2026-05-17,Hobby,155.86,USD,Ocio,No,Transferencia bancaria
TX003909,USR0013,2026-04-28,Compra de cosmética,1000,USD,Compras,No,Transferencia bancaria
TX000003,USR0095,2025-10-29,Panadería,200,USD,Alimentación,No,Pago con QR
TX004211,USR0021,2026-04-27,Compra no identificada,370.27,USD,Otros,No,Billetera virtual
TX000030,USR0047,2026-06-27,Carnicería,85.77,USD,Alimentación,No,Billetera virtual
TX001746,USR0050,2026-03-21,Expensas,1296.31,USD,Vivienda,Sí,Billetera virtual
TX002454,USR0035,2025-07-23,Curso online,1000,USD,Educación,Sí,Tarjeta de débito
TX000026,USR0016,2025-11-17,Comida a domicilio,200,USD,Alimentación,Sí,Efectivo
TX001483,USR0054,2026-03-01,Medicamentos,188.95,USD,Salud,No,Tarjeta de débito
TX004289,USR0011,2025-11-13,Gasto eventual,207.27,USD,Otros,No,Pago con QR
TX002393,USR0018,2026-06-26,Curso online,1000,USD,Educación,No,Billetera virtual
TX003053,USR0062,2025-10-06,Servicio de televisión,198.15,USD,Servicios,Sí,Débito automático
TX003190,USR0060,2026-06-04,Servicio de seguridad,400,USD,Servicios,No,Débito automático
TX000873,USR0040,2026-03-20,Transporte público,146.55,USD,Transporte,No,Transferencia bancaria
TX002427,USR0003,2025-08-08,Papelería,604.57,USD,Educación,No,Efectivo
TX000399,USR0019,2026-01-27,Restaurante,189.5,USD,Alimentación,No,Débito automático
TX001845,USR0036,2026-05-26,Seguro del hogar,1275.49,USD,Vivienda,Sí,Tarjeta de débito
TX002840,USR0055,2026-06-19,Evento cultural,24.68,USD,Ocio,Sí,Billetera virtual
TX000012,USR0092,2025-11-19,Cafetería,41.31,USD,Alimentación,No,Pago con QR
TX004201,USR0001,2025-12-25,Gasto eventual,318.2,USD,Otros,No,Billetera virtual
TX003420,USR0035,2025-08-11,Gas,400,USD,Servicios,Sí,Efectivo
TX000730,USR0032,2026-05-14,Estacionamiento,142.93,USD,Transporte,No,Pago con QR
TX003102,USR0015,2026-01-07,Electricidad,342.88,USD,Servicios,Sí,Billetera virtual
TX001701,USR0063,2026-06-18,Seguro del hogar,1423.29,USD,Vivienda,Sí,Efectivo
TX001620,USR0093,2025-10-02,Reparación de electrodoméstico,1264.38,USD,Vivienda,No,Tarjeta de crédito
TX000203,USR0021,2026-06-20,Panadería,156.29,USD,Alimentación,No,Efectivo
TX004252,USR0055,2025-08-24,Cargo administrativo,57.76,USD,Otros,No,Transferencia bancaria
TX000375,USR0091,2026-06-27,Cena,64.29,USD,Alimentación,No,Billetera virtual
TX002320,USR0002,2025-09-07,Papelería,1000,USD,Educación,No,Débito automático
TX003474,USR0088,2026-04-02,Servicio de televisión,37.52,USD,Servicios,Sí,Pago con QR
TX000595,USR0069,2026-06-08,Mantenimiento del vehículo,126.83,USD,Transporte,No,Efectivo
TX004460,USR0008,2026-01-16,Gasto eventual,425.98,USD,Otros,No,Transferencia bancaria
TX002244,USR0067,2026-04-01,Inscripción a curso,281.1,USD,Educación,No,Débito automático
TX001877,USR0087,2025-08-08,Servicio de limpieza,1602.96,USD,Vivienda,Sí,Tarjeta de crédito
TX003656,USR0066,2026-02-21,Compra de cosmética,144.53,USD,Compras,No,Efectivo
TX002579,USR0082,2026-04-24,Actividad recreativa,35.37,USD,Ocio,No,Efectivo
TX001201,USR0052,2026-03-09,Estudio médico,33.79,USD,Salud,No,Débito automático
TX004155,USR0100,2025-12-25,Gasto eventual,190.45,USD,Otros,No,Débito automático
TX000707,USR0005,2026-04-13,Pasaje de tren,34.69,USD,Transporte,No,Débito automático
TX000451,USR0078,2025-09-07,Panadería,52.95,USD,Alimentación,No,Tarjeta de crédito
TX001702,USR0072,2025-11-04,Expensas,2000,USD,Vivienda,Sí,Billetera virtual
TX003546,USR0001,2026-03-17,Compra de tecnología,534.12,USD,Compras,No,Billetera virtual
TX002979,USR0024,2025-12-07,Evento cultural,91.33,USD,Ocio,Sí,Pago con QR
TX000733,USR0019,2026-05-29,Peaje,180,USD,Transporte,No,Tarjeta de débito
TX000255,USR0067,2026-05-01,Carnicería,54.29,USD,Alimentación,No,Efectivo
TX002952,USR0093,2025-09-26,Hobby,182.99,USD,Ocio,Sí,Pago con QR
TX003673,USR0002,2025-12-23,Compra por internet,555.14,USD,Compras,No,Billetera virtual
TX001143,USR0066,2026-01-31,Medicamentos,200.6,USD,Salud,No,Pago con QR
TX000405,USR0026,2025-11-27,Compra en supermercado,11.66,USD,Alimentación,No,Transferencia bancaria
TX002227,USR0036,2025-11-02,Papelería,147.77,USD,Educación,No,Billetera virtual
TX001725,USR0096,2025-09-14,Hipoteca,714.25,USD,Vivienda,Sí,Billetera virtual
TX003415,USR0097,2026-07-12,Servicio de televisión,254.63,USD,Servicios,Sí,Pago con QR
TX001284,USR0037,2026-07-03,Estudio médico,452.55,USD,Salud,Sí,Efectivo
TX004319,USR0015,2025-09-13,Cargo administrativo,210.01,USD,Otros,Sí,Transferencia bancaria
TX003497,USR0087,2025-10-23,Servicio de seguridad,400,USD,Servicios,No,Billetera virtual
TX003830,USR0034,2025-07-23,Artículos personales,1000,USD,Compras,No,Débito automático
TX002321,USR0089,2025-11-02,Certificación profesional,497.29,USD,Educación,No,Efectivo
TX000299,USR0084,2026-03-01,Comida a domicilio,120.56,USD,Alimentación,No,Transferencia bancaria
TX001092,USR0060,2025-10-04,Consulta médica,270.35,USD,Salud,No,Billetera virtual
TX004253,USR0036,2026-02-02,Ajuste de cuenta,329.8,USD,Otros,No,Pago con QR
TX000094,USR0098,2025-10-17,Cena,169.36,USD,Alimentación,No,Transferencia bancaria
TX000810,USR0089,2025-10-07,Pasaje de autobús,180,USD,Transporte,No,Transferencia bancaria
TX001022,USR0076,2026-01-02,Medicamentos,176.59,USD,Salud,No,Billetera virtual
TX003549,USR0041,2026-05-14,Artículos personales,523.91,USD,Compras,No,Efectivo
TX002528,USR0007,2026-07-08,Suscripción de música,267.99,USD,Ocio,No,Pago con QR
TX002445,USR0056,2025-12-24,Material de estudio,292.51,USD,Educación,No,Billetera virtual
TX001436,USR0054,2025-10-16,Medicamentos,239.99,USD,Salud,Sí,Billetera virtual
TX000389,USR0091,2025-12-27,Almuerzo,23.08,USD,Alimentación,No,Débito automático
TX004072,USR0085,2026-04-29,Compra no identificada,40.39,USD,Otros,No,Tarjeta de débito
TX002916,USR0090,2026-05-11,Suscripción de música,172.22,USD,Ocio,No,Tarjeta de crédito
TX002733,USR0031,2025-08-10,Entrada de cine,80.03,USD,Ocio,No,Billetera virtual
TX003507,USR0053,2026-05-09,Compra para mascotas,399.68,USD,Compras,Sí,Transferencia bancaria
TX000689,USR0086,2026-03-01,Transporte público,52.77,USD,Transporte,No,Débito automático
TX001029,USR0020,2025-12-23,Análisis clínicos,137.29,USD,Salud,No,Transferencia bancaria
TX001177,USR0095,2026-03-12,Farmacia,500,USD,Salud,No,Tarjeta de crédito
TX001095,USR0062,2025-12-29,Lentes,93.49,USD,Salud,No,Transferencia bancaria
TX003499,USR0053,2025-12-02,Pago de impuestos,209.03,USD,Servicios,No,Pago con QR
TX002223,USR0074,2025-07-17,Compra de libros,1000,USD,Educación,Sí,Tarjeta de crédito
TX001674,USR0043,2026-06-28,Compra de muebles,168.03,USD,Vivienda,No,Efectivo
TX004376,USR0074,2026-06-12,Pago extraordinario,394.03,USD,Otros,No,Efectivo
TX003836,USR0029,2025-10-31,Compra de accesorios,1000,USD,Compras,No,Tarjeta de crédito
TX001501,USR0017,2026-05-28,Mantenimiento del hogar,1453.97,USD,Vivienda,No,Billetera virtual
TX001542,USR0052,2025-11-09,Alquiler,302.52,USD,Vivienda,Sí,Efectivo
TX004469,USR0098,2026-06-11,Cargo administrativo,482.81,USD,Otros,No,Pago con QR
TX001133,USR0089,2026-06-15,Kinesiología,500,USD,Salud,No,Tarjeta de crédito
TX001376,USR0019,2026-02-05,Terapia,500,USD,Salud,No,Transferencia bancaria
TX000095,USR0066,2026-02-24,Compra en supermercado,33.82,USD,Alimentación,No,Tarjeta de débito
TX000721,USR0093,2026-03-29,Estacionamiento,38.14,USD,Transporte,No,Efectivo
TX000503,USR0084,2026-03-29,Taxi,3.58,USD,Transporte,No,Tarjeta de débito
TX002810,USR0016,2025-11-19,Parque recreativo,226.44,USD,Ocio,No,Tarjeta de crédito
TX003900,USR0099,2026-05-12,Compra de electrodoméstico,469.62,USD,Compras,No,Tarjeta de crédito
TX001264,USR0086,2025-10-17,Farmacia,352.75,USD,Salud,No,Billetera virtual
TX002424,USR0057,2025-11-05,Compra de libros,134.93,USD,Educación,No,Débito automático
TX001848,USR0061,2025-10-20,Reparación del hogar,2000,USD,Vivienda,No,Billetera virtual
TX004167,USR0079,2026-05-03,Ajuste de cuenta,242.8,USD,Otros,No,Transferencia bancaria
TX000951,USR0093,2026-02-04,Mantenimiento del vehículo,59.19,USD,Transporte,Sí,Pago con QR
TX000717,USR0049,2025-12-11,Mantenimiento del vehículo,180,USD,Transporte,No,Efectivo
TX002786,USR0030,2025-10-13,Entrada de cine,5.09,USD,Ocio,No,Pago con QR
TX001184,USR0012,2026-03-01,Farmacia,500,USD,Salud,No,Tarjeta de débito
TX002466,USR0060,2025-11-22,Curso online,1000,USD,Educación,No,Tarjeta de débito
TX001485,USR0038,2026-06-10,Farmacia,272.29,USD,Salud,No,Tarjeta de débito
TX003575,USR0011,2026-03-04,Compra para mascotas,112.93,USD,Compras,No,Transferencia bancaria
TX001020,USR0024,2025-10-16,Consulta médica,463.26,USD,Salud,No,Transferencia bancaria
TX003400,USR0068,2026-05-22,Pago de impuestos,400,USD,Servicios,Sí,Tarjeta de débito
TX002179,USR0077,2025-11-05,Inscripción a curso,973.51,USD,Educación,No,Efectivo
TX003937,USR0046,2026-06-02,Compra de accesorios,879.06,USD,Compras,No,Débito automático
TX001948,USR0020,2025-11-29,Servicio de limpieza,220.93,USD,Vivienda,No,Transferencia bancaria
TX002270,USR0020,2025-11-03,Inscripción a curso,504.68,USD,Educación,No,Pago con QR
TX003987,USR0011,2025-10-17,Compra de calzado,890.28,USD,Compras,Sí,Pago con QR
TX004071,USR0067,2026-07-04,Ajuste de cuenta,39.53,USD,Otros,No,Pago con QR
TX003980,USR0014,2025-11-25,Artículos personales,276.24,USD,Compras,No,Tarjeta de crédito
TX003934,USR0091,2026-06-07,Artículos personales,125.07,USD,Compras,No,Pago con QR
TX004084,USR0015,2025-10-06,Transferencia personal,84.63,USD,Otros,No,Tarjeta de débito
TX000611,USR0044,2025-09-27,Pasaje de tren,103.08,USD,Transporte,No,Débito automático
TX001811,USR0061,2026-03-07,Reparación del hogar,605.93,USD,Vivienda,No,Efectivo
TX000714,USR0066,2026-05-20,Pasaje de autobús,6.88,USD,Transporte,No,Tarjeta de débito
TX001168,USR0029,2025-09-02,Consulta médica,340.62,USD,Salud,No,Billetera virtual
TX001431,USR0075,2025-08-06,Medicamentos,154.05,USD,Salud,No,Pago con QR
TX000541,USR0092,2026-02-26,Combustible,54.38,USD,Transporte,No,Débito automático
TX003764,USR0058,2025-12-07,Compra de accesorios,56.19,USD,Compras,No,Transferencia bancaria
TX002929,USR0018,2026-06-28,Evento cultural,114.41,USD,Ocio,No,Débito automático
TX002788,USR0072,2026-03-16,Parque recreativo,300,USD,Ocio,No,Pago con QR
TX004373,USR0041,2025-09-27,Donación,80.16,USD,Otros,No,Efectivo
TX004367,USR0042,2025-07-20,Donación,12.92,USD,Otros,No,Débito automático
TX000751,USR0089,2026-05-13,Pasaje de tren,173.53,USD,Transporte,No,Tarjeta de débito
TX003857,USR0033,2026-01-14,Compra de ropa,633.17,USD,Compras,No,Pago con QR
TX003555,USR0003,2025-12-22,Compra de ropa,666.87,USD,Compras,No,Efectivo
TX000180,USR0085,2026-04-26,Panadería,23.52,USD,Alimentación,No,Débito automático
TX001226,USR0092,2025-09-10,Lentes,345.45,USD,Salud,No,Tarjeta de crédito
TX002400,USR0007,2026-04-06,Material de estudio,920.13,USD,Educación,No,Efectivo
TX004413,USR0087,2025-10-29,Donación,122.91,USD,Otros,No,Billetera virtual
TX003926,USR0033,2026-03-12,Compra de tecnología,29.34,USD,Compras,No,Tarjeta de crédito
TX002332,USR0083,2025-09-09,Papelería,52.45,USD,Educación,No,Tarjeta de crédito
TX003822,USR0063,2026-06-19,Compra de calzado,529.37,USD,Compras,Sí,Tarjeta de crédito
TX003387,USR0032,2025-11-09,Gas,116.74,USD,Servicios,Sí,Pago con QR
TX003520,USR0019,2026-06-25,Compra de ropa,810.65,USD,Compras,No,Transferencia bancaria
TX001712,USR0021,2026-05-21,Mantenimiento del hogar,1252.89,USD,Vivienda,No,Débito automático
TX000761,USR0055,2026-06-22,Mantenimiento del vehículo,123.14,USD,Transporte,No,Efectivo
TX003125,USR0089,2025-11-03,Telefonía móvil,400,USD,Servicios,Sí,Efectivo
TX001766,USR0062,2025-08-01,Reparación de electrodoméstico,1232.69,USD,Vivienda,No,Pago con QR
TX000071,USR0043,2025-09-05,Cena,19.61,USD,Alimentación,No,Tarjeta de crédito
TX002783,USR0020,2026-05-28,Parque recreativo,159.5,USD,Ocio,No,Tarjeta de crédito
TX002252,USR0098,2026-06-03,Plataforma educativa,194.25,USD,Educación,Sí,Transferencia bancaria
TX000949,USR0015,2026-05-09,Transporte público,61.65,USD,Transporte,No,Pago con QR
TX001476,USR0065,2026-01-10,Análisis clínicos,71.06,USD,Salud,No,Transferencia bancaria
TX001974,USR0083,2026-07-06,Alquiler,672.39,USD,Vivienda,Sí,Débito automático
TX003348,USR0047,2026-03-28,Electricidad,223.02,USD,Servicios,Sí,Transferencia bancaria
TX002718,USR0084,2026-03-22,Evento cultural,21.56,USD,Ocio,No,Transferencia bancaria
TX000160,USR0066,2025-08-04,Restaurante,43.8,USD,Alimentación,Sí,Transferencia bancaria
TX003302,USR0006,2026-06-14,Servicio de seguridad,78.52,USD,Servicios,No,Billetera virtual
TX003473,USR0003,2025-11-10,Telefonía fija,158.84,USD,Servicios,Sí,Efectivo
TX002544,USR0066,2025-10-22,Evento cultural,170.82,USD,Ocio,No,Pago con QR
TX004439,USR0087,2025-11-07,Gasto eventual,500,USD,Otros,Sí,Efectivo
TX000260,USR0021,2025-10-21,Panadería,107.36,USD,Alimentación,Sí,Pago con QR
TX002092,USR0042,2025-11-15,Capacitación,32.07,USD,Educación,No,Tarjeta de crédito
TX003013,USR0027,2026-01-24,Telefonía fija,41.22,USD,Servicios,Sí,Pago con QR
TX002186,USR0013,2025-08-27,Capacitación,878.11,USD,Educación,No,Billetera virtual
TX003972,USR0095,2026-02-20,Compra de tecnología,1000,USD,Compras,No,Débito automático
TX000748,USR0093,2025-11-17,Transporte público,29.79,USD,Transporte,No,Débito automático
TX003648,USR0078,2026-01-31,Compra de electrodoméstico,275.92,USD,Compras,No,Billetera virtual
TX001196,USR0059,2025-07-31,Medicamentos,500,USD,Salud,No,Tarjeta de débito
TX003066,USR0040,2026-02-15,Agua,200.13,USD,Servicios,Sí,Billetera virtual
TX002695,USR0007,2025-08-10,Concierto,300,USD,Ocio,No,Billetera virtual
TX001994,USR0058,2025-12-16,Seguro del hogar,692.75,USD,Vivienda,Sí,Efectivo
TX000286,USR0022,2025-10-29,Panadería,99.3,USD,Alimentación,No,Tarjeta de crédito
TX002851,USR0029,2025-10-06,Actividad recreativa,300,USD,Ocio,No,Transferencia bancaria
TX002763,USR0016,2025-10-01,Parque recreativo,116.65,USD,Ocio,No,Efectivo
TX000377,USR0078,2026-05-08,Cena,162.72,USD,Alimentación,Sí,Billetera virtual
TX003700,USR0099,2025-09-30,Compra por internet,505.41,USD,Compras,No,Pago con QR
