usuario_id,ingreso_mensual,deuda_mensual,nivel_endeudamiento,gasto_mensual_promedio,ahorro_mensual_estimado,porcentaje_gastos_ingreso,frecuencia_ahorro,perfil_financiero
USR0035,5402.13,2257.55,41.79,2370.99,773.59,85.68,Media,En observación
USR0036,2985.54,12.24,0.41,1226.28,1747.02,41.48,Alta,Saludable
USR0037,4841.72,2349.2,48.52,1324.8,1167.72,75.88,Alta,En riesgo
USR0038,6703.87,1897.87,28.31,1513.09,3292.91,50.88,Alta,En observación
USR0039,1248.49,119.73,9.59,561.34,567.42,54.55,Alta,Saludable
USR0040,3804.8,482.45,12.68,1467.63,1854.72,51.25,Alta,Saludable
USR0041,1360.55,144.22,10.6,807.43,408.9,69.95,Alta,Saludable
USR0042,4099.27,286.13,6.98,1496.29,2316.85,43.48,Alta,Saludable
USR0043,1854.02,168.72,9.1,924.43,760.87,58.96,Alta,Saludable
USR0044,1395.38,601.27,43.09,635.47,158.64,88.63,Media,En observación
USR0045,6220.63,690.49,11.1,1479.01,4051.13,34.88,Alta,Saludable
USR0046,4877.14,2350.29,48.19,1515.66,1011.19,79.27,Alta,En riesgo
USR0047,2612.96,479.22,18.34,1176.11,957.63,63.35,Alta,Saludable
USR0048,6312.2,2644.81,41.9,1592.19,2075.2,67.12,Alta,En observación
USR0049,4802.76,2097.37,43.67,1856.39,849.0,82.32,Media,En observación
USR0050,4523.36,783.45,17.32,2017.12,1722.79,61.91,Alta,Saludable
USR0051,5174.27,2231.15,43.12,1791.65,1151.47,77.75,Alta,En observación
USR0052,1521.76,269.66,17.72,743.53,508.57,66.58,Alta,Saludable
USR0053,2907.06,1417.19,48.75,878.84,611.03,78.98,Alta,En riesgo
USR0054,2871.07,1063.73,37.05,1363.17,444.17,84.53,Media,En observación
USR0055,3722.19,774.59,20.81,1122.44,1825.16,50.97,Alta,Saludable
USR0056,4099.78,2017.91,49.22,1298.82,783.05,80.9,Media,En riesgo
USR0057,5017.37,1074.72,21.42,1211.85,2730.8,45.57,Alta,Saludable
USR0058,2072.42,392.52,18.94,1237.94,441.96,78.67,Alta,En observación
USR0059,3931.01,1396.69,35.53,892.62,1641.7,58.24,Alta,En observación
USR0060,6991.55,1249.39,17.87,1659.03,4083.13,41.6,Alta,Saludable
USR0061,6652.58,3332.28,50.09,1640.14,1680.16,74.74,Alta,En riesgo
USR0062,3769.04,460.58,12.22,999.35,2309.11,38.73,Alta,Saludable
USR0063,2557.53,1295.9,50.67,1075.04,186.59,92.7,Baja,En riesgo
USR0064,2207.17,786.86,35.65,824.45,595.86,73.0,Alta,En observación
USR0065,4983.84,458.51,9.2,1793.7,2731.63,45.19,Alta,Saludable
USR0066,1381.87,485.04,35.1,930.76,0,102.46,Nunca,En riesgo
USR0067,1507.04,454.82,30.18,869.64,182.58,87.88,Media,En observación
USR0068,6834.28,1742.74,25.5,1123.26,3968.28,41.94,Alta,En observación
USR0069,3009.88,175.78,5.84,1012.11,1821.99,39.47,Alta,Saludable
USR0070,2951.01,519.67,17.61,1056.4,1374.94,53.41,Alta,Saludable
USR0071,1879.2,726.12,38.64,718.42,434.66,76.87,Alta,En observación
USR0072,4693.62,1853.04,39.48,1465.85,1374.73,70.71,Alta,En observación
USR0073,1821.42,250.81,13.77,801.53,769.08,57.78,Alta,Saludable
USR0074,6565.39,31.51,0.48,1669.54,4864.34,25.91,Alta,Saludable
USR0075,3345.01,1504.92,44.99,1220.23,619.86,81.47,Media,En observación
USR0076,2527.29,305.8,12.1,919.11,1302.38,48.47,Alta,Saludable
USR0077,4897.11,678.25,13.85,2218.73,2000.13,59.16,Alta,Saludable
USR0078,3149.23,678.34,21.54,923.2,1547.69,50.85,Alta,Saludable
USR0079,2932.44,1063.01,36.25,1349.9,519.53,82.28,Media,En observación
USR0080,5460.75,2285.87,41.86,1608.84,1566.04,71.32,Alta,En observación
USR0081,6886.42,275.46,4.0,1483.99,5126.97,25.55,Alta,Saludable
USR0082,2688.72,1458.9,54.26,1107.05,122.77,95.43,Baja,En riesgo
USR0083,5828.59,2437.52,41.82,1583.43,1807.64,68.99,Alta,En observación
USR0084,2489.4,175.75,7.06,989.48,1324.17,46.81,Alta,Saludable
USR0085,2796.92,1373.57,49.11,1225.79,197.56,92.94,Baja,En riesgo
USR0086,5552.84,1120.56,20.18,1592.69,2839.59,48.86,Alta,Saludable
USR0087,5020.27,2030.2,40.44,1592.89,1397.18,72.17,Alta,En observación
USR0088,2862.34,167.45,5.85,896.66,1798.23,37.18,Alta,Saludable
USR0089,5904.5,2298.62,38.93,1507.5,2098.38,64.46,Alta,En observación
USR0090,5881.62,2402.64,40.85,1859.69,1619.29,72.47,Alta,En observación
USR0091,3319.52,1194.7,35.99,1354.1,770.72,76.78,Alta,En observación
USR0092,3327.54,1653.45,49.69,1361.69,312.4,90.61,Baja,En riesgo
USR0093,1918.57,735.0,38.31,971.79,211.78,88.96,Media,En observación
USR0094,3209.22,1605.57,50.03,1347.1,256.55,92.01,Baja,En riesgo
USR0095,5862.32,563.96,9.62,2069.67,3228.69,44.92,Alta,Saludable
USR0096,1290.67,165.98,12.86,778.43,346.26,73.17,Alta,Saludable
USR0097,6775.42,2863.29,42.26,2063.48,1848.65,72.72,Alta,En observación
USR0098,5295.07,609.99,11.52,1673.41,3011.67,43.12,Alta,Saludable
USR0099,2431.09,595.13,24.48,1086.08,749.88,69.15,Alta,Saludable
USR0100,4289.7,1454.21,33.9,1444.32,1391.17,67.57,Alta,En observación
