transaction_id,usuario_id,fecha,descripcion,monto,moneda,categoria,recurrente,medio_pago,descripcion_limpia,anio,mes,trimestre,dia_semana,es_fin_de_semana,monto_log,longitud_descripcion,cantidad_palabras,recurrente_binario,es_gasto_grande
TX003994,USR0099,2025-11-06,Compra por internet,349.04,USD,Compras,No,Tarjeta de débito,compra por internet,2025,11,4,3,0,5.858047433667631,19,3,0,1
TX002650,USR0057,2025-09-25,Hobby,239.99,USD,Ocio,No,Billetera virtual,hobby,2025,9,3,3,0,5.484755438853831,5,1,0,0
TX003453,USR0100,2025-12-06,Servicio de internet,226.12,USD,Servicios,Sí,Transferencia bancaria,servicio de internet,2025,12,4,5,1,5.425478512164716,20,3,1,0
TX002888,USR0043,2026-06-07,Evento cultural,112.36,USD,Ocio,Sí,Billetera virtual,evento cultural,2026,6,2,6,1,4.730568595382425,15,2,1,0
TX002001,USR0039,2026-03-18,Papelería,298.17,USD,Educación,No,Tarjeta de crédito,papeleria,2026,3,1,2,0,5.701011973693533,9,1,0,1
TX001305,USR0093,2025-12-20,Consulta médica,322.2,USD,Salud,No,Billetera virtual,consulta medica,2025,12,4,5,1,5.77827132664694,15,2,0,1
TX001409,USR0004,2025-11-22,Análisis clínicos,116.72,USD,Salud,No,Débito automático,analisis clinicos,2025,11,4,5,1,4.768308923365272,17,2,0,0
TX003659,USR0066,2025-10-24,Compra de herramientas,510.28,USD,Compras,No,Pago con QR,compra de herramientas,2025,10,4,4,0,6.236917385342026,22,3,0,1
TX000666,USR0100,2026-02-19,Carga de tarjeta de transporte,27.18,USD,Transporte,No,Efectivo,carga de tarjeta de transporte,2026,2,1,3,0,3.3386125064705343,30,5,0,0
TX000740,USR0003,2025-09-03,Pasaje de tren,154.47,USD,Transporte,No,Transferencia bancaria,pasaje de tren,2025,9,3,2,0,5.046452786961649,14,3,0,0
TX003790,USR0003,2026-02-08,Compra por internet,456.13,USD,Compras,No,Débito automático,compra por internet,2026,2,1,6,1,6.12496781433699,19,3,0,1
TX000587,USR0005,2025-08-20,Mantenimiento del vehículo,23.36,USD,Transporte,No,Billetera virtual,mantenimiento del vehiculo,2025,8,3,2,0,3.192942442841696,26,3,0,0
TX001463,USR0064,2025-09-15,Odontología,182.26,USD,Salud,No,Billetera virtual,odontologia,2025,9,3,0,0,5.210905909537067,11,1,0,0
TX001825,USR0054,2025-11-27,Reparación del hogar,1175.33,USD,Vivienda,No,Tarjeta de crédito,reparacion del hogar,2025,11,4,3,0,7.070154701339218,20,3,0,1
TX000675,USR0077,2025-11-12,Mantenimiento del vehículo,36.65,USD,Transporte,Sí,Pago con QR,mantenimiento del vehiculo,2025,11,4,2,0,3.6283329542459026,26,3,1,0
TX001933,USR0008,2025-10-10,Materiales de construcción,1389.31,USD,Vivienda,No,Efectivo,materiales de construccion,2025,10,4,4,0,7.237282022841855,26,3,0,1
TX001455,USR0048,2025-11-16,Kinesiología,500.0,USD,Salud,No,Tarjeta de crédito,kinesiologia,2025,11,4,6,1,6.2166061010848646,12,1,0,0
TX004165,USR0068,2025-08-03,Retiro de efectivo,433.02,USD,Otros,No,Transferencia bancaria,retiro de efectivo,2025,8,3,6,1,6.073090615987927,18,3,0,1
TX001251,USR0016,2025-07-24,Seguro de salud,325.62,USD,Salud,Sí,Efectivo,seguro de salud,2025,7,3,3,0,5.788797415648597,15,3,1,0
TX002015,USR0051,2026-05-27,Material de estudio,253.51,USD,Educación,Sí,Débito automático,material de estudio,2026,5,2,2,0,5.539340127949483,19,3,1,0
TX002450,USR0092,2026-02-21,Plataforma educativa,41.39,USD,Educación,Sí,Billetera virtual,plataforma educativa,2026,2,1,5,1,3.746912485364546,20,2,1,0
TX003750,USR0006,2025-12-21,Compra de tecnología,350.46,USD,Compras,Sí,Billetera virtual,compra de tecnologia,2025,12,4,6,1,5.8620959067667,20,3,1,0
TX003882,USR0044,2026-06-27,Compra de cosmética,10.0,USD,Compras,No,Efectivo,compra de cosmetica,2026,6,2,5,1,2.3978952727983707,19,3,0,0
TX004073,USR0091,2025-11-05,Donación,83.57,USD,Otros,No,Tarjeta de débito,donacion,2025,11,4,2,0,4.437579593794131,8,1,0,0
TX004233,USR0024,2025-11-28,Transferencia personal,53.08,USD,Otros,No,Pago con QR,transferencia personal,2025,11,4,4,0,3.9904644317347087,22,2,0,0
TX002165,USR0090,2025-10-08,Material de estudio,1000.0,USD,Educación,No,Débito automático,material de estudio,2025,10,4,2,0,6.90875477931522,19,3,0,1
TX002722,USR0050,2025-11-07,Videojuego,270.49,USD,Ocio,No,Tarjeta de débito,videojuego,2025,11,4,4,0,5.603925306283137,10,1,0,0
TX002386,USR0023,2025-12-14,Inscripción a curso,390.9,USD,Educación,No,Efectivo,inscripcion a curso,2025,12,4,6,1,5.9710067052055855,19,3,0,1
TX003042,USR0087,2025-08-05,Servicio de televisión,136.82,USD,Servicios,Sí,Tarjeta de débito,servicio de television,2025,8,3,1,0,4.925948485929061,22,3,1,0
TX003112,USR0088,2026-05-26,Telefonía fija,23.94,USD,Servicios,Sí,Débito automático,telefonia fija,2026,5,2,1,0,3.2164729402518906,14,2,1,0
TX000482,USR0047,2025-12-22,Cafetería,48.91,USD,Alimentación,No,Efectivo,cafeteria,2025,12,4,0,0,3.9102213834815176,9,1,0,0
TX002326,USR0069,2026-04-04,Compra de libros,520.62,USD,Educación,No,Tarjeta de débito,compra de libros,2026,4,2,5,1,6.25693935343563,16,3,0,1
TX002379,USR0066,2026-04-03,Compra de libros,415.17,USD,Educación,Sí,Efectivo,compra de libros,2026,4,2,4,0,6.031093830631176,16,3,1,1
TX003034,USR0056,2026-04-14,Servicio de televisión,245.34,USD,Servicios,Sí,Efectivo,servicio de television,2026,4,2,1,0,5.506712695513338,22,3,1,0
TX001345,USR0077,2025-09-25,Estudio médico,160.28,USD,Salud,No,Pago con QR,estudio medico,2025,9,3,3,0,5.083141984883004,14,2,0,0
TX000301,USR0085,2025-11-16,Verdulería,58.21,USD,Alimentación,No,Billetera virtual,verduleria,2025,11,4,6,1,4.081090446543684,10,1,0,0
TX001038,USR0093,2026-03-24,Medicamentos,81.93,USD,Salud,No,Tarjeta de crédito,medicamentos,2026,3,1,1,0,4.4179968784631125,12,1,0,0
TX003589,USR0043,2025-09-19,Compra de calzado,631.17,USD,Compras,No,Tarjeta de débito,compra de calzado,2025,9,3,4,0,6.449158345318021,17,3,0,1
TX002568,USR0037,2025-12-09,Entrada de cine,116.92,USD,Ocio,No,Efectivo,entrada de cine,2025,12,4,1,0,4.770006428441026,15,3,0,0
TX001797,USR0041,2026-06-15,Seguro del hogar,1124.97,USD,Vivienda,Sí,Transferencia bancaria,seguro del hogar,2026,6,2,0,0,7.026400165360691,16,3,1,1
TX002526,USR0029,2025-10-14,Evento cultural,55.63,USD,Ocio,No,Pago con QR,evento cultural,2025,10,4,1,0,4.036538880125714,15,2,0,0
TX001687,USR0019,2025-10-02,Hipoteca,1328.04,USD,Vivienda,Sí,Transferencia bancaria,hipoteca,2025,10,4,3,0,7.192212156078224,8,1,1,1
TX002327,USR0020,2026-03-09,Curso online,551.28,USD,Educación,No,Billetera virtual,curso online,2026,3,1,0,0,6.314055164047952,12,2,0,1
TX000839,USR0061,2026-05-04,Transporte público,39.82,USD,Transporte,No,Pago con QR,transporte publico,2026,5,2,0,0,3.709172157381699,18,2,0,0
TX003682,USR0009,2025-10-19,Compra de accesorios,527.79,USD,Compras,No,Pago con QR,compra de accesorios,2025,10,4,6,1,6.270591377617365,20,3,0,0
TX002017,USR0005,2025-09-08,Clases particulares,203.89,USD,Educación,No,Pago con QR,clases particulares,2025,9,3,0,0,5.322473249759108,19,2,0,0
TX001792,USR0049,2026-04-23,Expensas,273.64,USD,Vivienda,Sí,Transferencia bancaria,expensas,2026,4,2,3,0,5.615461149149437,8,1,1,0
TX002886,USR0027,2025-08-08,Actividad recreativa,300.0,USD,Ocio,No,Tarjeta de débito,actividad recreativa,2025,8,3,4,0,5.707110264748875,20,2,0,0
TX001785,USR0059,2025-12-27,Expensas,144.68,USD,Vivienda,Sí,Efectivo,expensas,2025,12,4,5,1,4.981412435419353,8,1,1,0
TX001217,USR0057,2025-11-11,Consulta médica,148.41,USD,Salud,No,Débito automático,consulta medica,2025,11,4,1,0,5.006694204862994,15,2,0,0
TX002289,USR0052,2026-04-22,Inscripción a curso,620.36,USD,Educación,No,Efectivo,inscripcion a curso,2026,4,2,2,0,6.431910624111392,19,3,0,1
TX001545,USR0084,2026-05-14,Mantenimiento del hogar,1025.61,USD,Vivienda,No,Débito automático,mantenimiento del hogar,2026,5,2,3,0,6.934017390971026,23,3,0,1
TX002216,USR0036,2026-01-13,Inscripción a curso,647.1,USD,Educación,No,Tarjeta de crédito,inscripcion a curso,2026,1,1,1,0,6.474045005433671,19,3,0,1
TX003518,USR0060,2026-05-16,Compra para mascotas,253.43,USD,Compras,No,Débito automático,compra para mascotas,2026,5,2,5,1,5.539025749041718,20,3,0,0
TX000263,USR0027,2026-07-03,Cafetería,152.08,USD,Alimentación,No,Tarjeta de débito,cafeteria,2026,7,3,4,0,5.0309606605575015,9,1,0,0
TX002350,USR0002,2026-02-02,Plataforma educativa,701.22,USD,Educación,Sí,Efectivo,plataforma educativa,2026,2,1,0,0,6.554246745242715,20,2,1,1
TX001807,USR0014,2026-06-21,Hipoteca,1038.44,USD,Vivienda,Sí,Pago con QR,hipoteca,2026,6,2,6,1,6.946437385574481,8,1,1,1
TX002808,USR0021,2025-07-18,Actividad recreativa,204.34,USD,Ocio,Sí,Transferencia bancaria,actividad recreativa,2025,7,3,4,0,5.324667141870819,20,2,1,0
TX002330,USR0064,2026-03-12,Cuota educativa,521.11,USD,Educación,Sí,Débito automático,cuota educativa,2026,3,1,3,0,6.2578782936519675,15,2,1,1
TX003712,USR0099,2025-07-22,Compra de calzado,55.24,USD,Compras,No,Pago con QR,compra de calzado,2025,7,3,1,0,4.029628247502409,17,3,0,0
TX001581,USR0083,2025-10-25,Compra de muebles,1075.13,USD,Vivienda,No,Billetera virtual,compra de muebles,2025,10,4,5,1,6.9811265512677085,17,3,0,1
TX000096,USR0032,2026-04-21,Verdulería,200.0,USD,Alimentación,No,Billetera virtual,verduleria,2026,4,2,1,0,5.303304908059076,10,1,0,0
TX001510,USR0091,2025-07-31,Alquiler,982.42,USD,Vivienda,Sí,Billetera virtual,alquiler,2025,7,3,3,0,6.891036292375263,8,1,1,1
TX000925,USR0008,2025-12-13,Carga de tarjeta de transporte,180.0,USD,Transporte,No,Transferencia bancaria,carga de tarjeta de transporte,2025,12,4,5,1,5.198497031265826,30,5,0,0
TX003976,USR0074,2025-12-14,Compra para mascotas,383.33,USD,Compras,Sí,Pago con QR,compra para mascotas,2025,12,4,6,1,5.951501558536452,20,3,1,0
TX001758,USR0066,2026-01-21,Servicio de limpieza,1159.33,USD,Vivienda,No,Tarjeta de crédito,servicio de limpieza,2026,1,1,2,0,7.056459726401484,20,3,0,1
TX002845,USR0008,2026-05-17,Hobby,155.86,USD,Ocio,No,Transferencia bancaria,hobby,2026,5,2,6,1,5.05535368778452,5,1,0,0
TX003909,USR0013,2026-04-28,Compra de cosmética,1000.0,USD,Compras,No,Transferencia bancaria,compra de cosmetica,2026,4,2,1,0,6.90875477931522,19,3,0,1
TX000003,USR0095,2025-10-29,Panadería,200.0,USD,Alimentación,No,Pago con QR,panaderia,2025,10,4,2,0,5.303304908059076,9,1,0,0
TX004211,USR0021,2026-04-27,Compra no identificada,370.27,USD,Otros,No,Billetera virtual,compra no identificada,2026,4,2,0,0,5.916929560719734,22,3,0,0
TX000030,USR0047,2026-06-27,Carnicería,85.77,USD,Alimentación,No,Billetera virtual,carniceria,2026,6,2,5,1,4.463260939805398,10,1,0,0
TX001746,USR0050,2026-03-21,Expensas,1296.31,USD,Vivienda,Sí,Billetera virtual,expensas,2026,3,1,5,1,7.168048168864532,8,1,1,1
TX002454,USR0035,2025-07-23,Curso online,1000.0,USD,Educación,Sí,Tarjeta de débito,curso online,2025,7,3,2,0,6.90875477931522,12,2,1,1
TX000026,USR0016,2025-11-17,Comida a domicilio,200.0,USD,Alimentación,Sí,Efectivo,comida a domicilio,2025,11,4,0,0,5.303304908059076,18,3,1,0
TX001483,USR0054,2026-03-01,Medicamentos,188.95,USD,Salud,No,Tarjeta de débito,medicamentos,2026,3,1,6,1,5.2467608796336345,12,1,0,0
TX004289,USR0011,2025-11-13,Gasto eventual,207.27,USD,Otros,No,Pago con QR,gasto eventual,2025,11,4,3,0,5.338835314850925,14,2,0,0
TX002393,USR0018,2026-06-26,Curso online,1000.0,USD,Educación,No,Billetera virtual,curso online,2026,6,2,4,0,6.90875477931522,12,2,0,1
TX003053,USR0062,2025-10-06,Servicio de televisión,198.15,USD,Servicios,Sí,Débito automático,servicio de television,2025,10,4,0,0,5.294058309627653,22,3,1,0
TX003190,USR0060,2026-06-04,Servicio de seguridad,400.0,USD,Servicios,No,Débito automático,servicio de seguridad,2026,6,2,3,0,5.993961427306569,21,3,0,0
TX000873,USR0040,2026-03-20,Transporte público,146.55,USD,Transporte,No,Transferencia bancaria,transporte publico,2026,3,1,4,0,4.994167101388949,18,2,0,0
TX002427,USR0003,2025-08-08,Papelería,604.57,USD,Educación,No,Efectivo,papeleria,2025,8,3,4,0,6.406170163247596,9,1,0,1
TX000399,USR0019,2026-01-27,Restaurante,189.5,USD,Alimentación,No,Débito automático,restaurante,2026,1,1,1,0,5.249652194566756,11,1,0,0
TX001845,USR0036,2026-05-26,Seguro del hogar,1275.49,USD,Vivienda,Sí,Tarjeta de débito,seguro del hogar,2026,5,2,1,0,7.151869402729976,16,3,1,1
TX002840,USR0055,2026-06-19,Evento cultural,24.68,USD,Ocio,Sí,Billetera virtual,evento cultural,2026,6,2,4,0,3.2457124788217606,15,2,1,0
TX000012,USR0092,2025-11-19,Cafetería,41.31,USD,Alimentación,No,Pago con QR,cafeteria,2025,11,4,2,0,3.7450234647319762,9,1,0,0
TX004201,USR0001,2025-12-25,Gasto eventual,318.2,USD,Otros,No,Billetera virtual,gasto eventual,2025,12,4,3,0,5.765817865575654,14,2,0,0
TX003420,USR0035,2025-08-11,Gas,400.0,USD,Servicios,Sí,Efectivo,gas,2025,8,3,0,0,5.993961427306569,3,1,1,0
TX000730,USR0032,2026-05-14,Estacionamiento,142.93,USD,Transporte,No,Pago con QR,estacionamiento,2026,5,2,3,0,4.96932707027458,15,1,0,0
TX003102,USR0015,2026-01-07,Electricidad,342.88,USD,Servicios,Sí,Billetera virtual,electricidad,2026,1,1,2,0,5.8402927593062435,12,1,1,0
TX001701,USR0063,2026-06-18,Seguro del hogar,1423.29,USD,Vivienda,Sí,Efectivo,seguro del hogar,2026,6,2,3,0,7.2614287229231245,16,3,1,1
TX001620,USR0093,2025-10-02,Reparación de electrodoméstico,1264.38,USD,Vivienda,No,Tarjeta de crédito,reparacion de electrodomestico,2025,10,4,3,0,7.143127751308916,30,3,0,1
TX000203,USR0021,2026-06-20,Panadería,156.29,USD,Alimentación,No,Efectivo,panaderia,2026,6,2,5,1,5.058091235252551,9,1,0,0
TX004252,USR0055,2025-08-24,Cargo administrativo,57.76,USD,Otros,No,Transferencia bancaria,cargo administrativo,2025,8,3,6,1,4.073461351305676,20,2,0,0
TX000375,USR0091,2026-06-27,Cena,64.29,USD,Alimentación,No,Billetera virtual,cena,2026,6,2,5,1,4.178838885198542,4,1,0,0
TX002320,USR0002,2025-09-07,Papelería,1000.0,USD,Educación,No,Débito automático,papeleria,2025,9,3,6,1,6.90875477931522,9,1,0,1
TX003474,USR0088,2026-04-02,Servicio de televisión,37.52,USD,Servicios,Sí,Pago con QR,servicio de television,2026,4,2,3,0,3.651177586929925,22,3,1,0
TX000595,USR0069,2026-06-08,Mantenimiento del vehículo,126.83,USD,Transporte,No,Efectivo,mantenimiento del vehiculo,2026,6,2,0,0,4.8507012561799305,26,3,0,0
TX004460,USR0008,2026-01-16,Gasto eventual,425.98,USD,Otros,No,Transferencia bancaria,gasto eventual,2026,1,1,4,0,6.056737173724178,14,2,0,0
TX002244,USR0067,2026-04-01,Inscripción a curso,281.1,USD,Educación,No,Débito automático,inscripcion a curso,2026,4,2,2,0,5.642261618007951,19,3,0,0
TX001877,USR0087,2025-08-08,Servicio de limpieza,1602.96,USD,Vivienda,Sí,Tarjeta de crédito,servicio de limpieza,2025,8,3,4,0,7.380230850459651,20,3,1,1
TX003656,USR0066,2026-02-21,Compra de cosmética,144.53,USD,Compras,No,Efectivo,compra de cosmetica,2026,2,1,5,1,4.980382250925235,19,3,0,0
TX002579,USR0082,2026-04-24,Actividad recreativa,35.37,USD,Ocio,No,Efectivo,actividad recreativa,2026,4,2,4,0,3.5937442589988975,20,2,0,0
TX001201,USR0052,2026-03-09,Estudio médico,33.79,USD,Salud,No,Débito automático,estudio medico,2026,3,1,0,0,3.5493299891638506,14,2,0,0
TX004155,USR0100,2025-12-25,Gasto eventual,190.45,USD,Otros,No,Débito automático,gasto eventual,2025,12,4,3,0,5.254626677923303,14,2,0,0
TX000707,USR0005,2026-04-13,Pasaje de tren,34.69,USD,Transporte,No,Débito automático,pasaje de tren,2026,4,2,0,0,3.574870537502069,14,3,0,0
TX000451,USR0078,2025-09-07,Panadería,52.95,USD,Alimentación,No,Tarjeta de crédito,panaderia,2025,9,3,6,1,3.9880576917041437,9,1,0,0
TX001702,USR0072,2025-11-04,Expensas,2000.0,USD,Vivienda,Sí,Billetera virtual,expensas,2025,11,4,1,0,7.601402334583733,8,1,1,1
