transaction_id,usuario_id,fecha,descripcion,monto,moneda,tipo,categoria,recurrente,medio_pago
TX026215,USR0485,2025-12-29,Expensas,186.21,USD,GASTO,Vivienda,Sí,Tarjeta de débito
TX075206,USR0903,2025-10-06,Cobro de sueldo,6814.85,USD,INGRESO,Salario,Sí,Transferencia bancaria
TX000390,USR0816,2025-11-10,Cena,94.5,USD,GASTO,Alimentación,Sí,Tarjeta de débito
TX011594,USR0055,2025-09-06,Pasaje de tren,96.92,USD,GASTO,Transporte,Sí,Pago con QR
TX016606,USR0465,2025-10-09,Consulta médica,244.58,USD,GASTO,Salud,No,Débito automático
TX058657,USR0099,2026-04-18,Cargo administrativo,241.18,USD,GASTO,Otros,No,Pago con QR
TX039244,USR0654,2025-12-25,Servicio de streaming,224.39,USD,GASTO,Ocio,Sí,Débito automático
TX015028,USR0523,2026-06-01,Análisis clínicos,106.19,USD,GASTO,Salud,No,Efectivo
TX031683,USR0600,2025-11-30,Material de estudio,564.32,USD,GASTO,Educación,No,Débito automático
TX071970,USR0713,2025-12-05,Acreditación de salario,3782.19,USD,INGRESO,Salario,Sí,Billetera digital
TX020172,USR0509,2026-04-21,Alquiler,1150.25,USD,GASTO,Vivienda,Sí,Billetera digital
TX034181,USR0133,2026-03-27,Actividad recreativa,205.7,USD,GASTO,Ocio,Sí,Tarjeta de crédito
TX012850,USR0937,2025-09-16,Peaje,180,USD,GASTO,Transporte,No,Tarjeta de débito
TX034546,USR0364,2026-03-12,Videojuego,174.17,USD,GASTO,Ocio,Sí,Tarjeta de crédito
TX019140,USR0933,2026-01-03,Kinesiología,500,USD,GASTO,Salud,Sí,Pago con QR
TX046263,USR0565,2025-11-17,Electricidad,400,USD,GASTO,Servicios,Sí,Efectivo
TX056138,USR0265,2026-06-01,Pago extraordinario,102.48,USD,GASTO,Otros,No,Efectivo
TX032677,USR0112,2026-07-01,Inscripción a curso,661.7,USD,GASTO,Educación,No,Transferencia bancaria
TX043901,USR0559,2026-03-12,Telefonía fija,200.18,USD,GASTO,Servicios,Sí,Transferencia bancaria
TX057176,USR0594,2026-03-08,Otro gasto,393.98,USD,GASTO,Otros,No,Transferencia bancaria
TX047853,USR0117,2026-01-19,Compra de cosmética,559.11,USD,GASTO,Compras,No,Pago con QR
TX013172,USR0166,2026-03-26,Transporte público,56.22,USD,GASTO,Transporte,No,Débito automático
TX011785,USR0132,2025-12-23,Transporte público,10.33,USD,GASTO,Transporte,No,Transferencia bancaria
TX011383,USR0938,2025-08-22,Pasaje de autobús,52.71,USD,GASTO,Transporte,No,Pago con QR
TX064733,USR0283,2026-06-06,Pago del empleador,5431.86,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX076150,USR0961,2026-07-06,Remuneración mensual,6027.24,USD,INGRESO,Salario,Sí,Efectivo
TX073316,USR0792,2026-07-06,Sueldo mensual,2520.6,USD,INGRESO,Salario,Sí,Efectivo
TX043063,USR0483,2026-06-30,Electricidad,94.46,USD,GASTO,Servicios,Sí,Débito automático
TX001281,USR0931,2025-09-15,Verdulería,131.32,USD,GASTO,Alimentación,Sí,Tarjeta de débito
TX050343,USR0738,2026-06-16,Compra de accesorios,1000,USD,GASTO,Compras,No,Billetera digital
TX040896,USR0692,2025-09-26,Telefonía móvil,122.25,USD,GASTO,Servicios,Sí,Tarjeta de crédito
TX068144,USR0487,2025-07-19,Devolución por cancelación,24.51,USD,INGRESO,Reintegro,No,Depósito en cuenta
TX052985,USR0952,2026-06-04,Compra de accesorios,53.38,USD,GASTO,Compras,No,Pago con QR
TX058062,USR0382,2025-08-16,Ajuste de cuenta,188.44,USD,GASTO,Otros,No,Pago con QR
TX072343,USR0734,2026-04-17,Reembolso de servicio,190.97,USD,INGRESO,Reintegro,No,Acreditación automática
TX069952,USR0594,2026-03-04,Remuneración mensual,7091.37,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX063938,USR0236,2026-05-03,Pago de nómina,5583.33,USD,INGRESO,Salario,Sí,Transferencia bancaria
TX003317,USR0163,2026-03-09,Cena,200,USD,GASTO,Alimentación,No,Transferencia bancaria
TX054181,USR0979,2025-09-07,Otro gasto,496.34,USD,GASTO,Otros,No,Pago con QR
TX039978,USR0209,2026-07-15,Actividad recreativa,300,USD,GASTO,Ocio,Sí,Tarjeta de crédito
TX072383,USR0737,2026-03-01,Acreditación de salario,4066.69,USD,INGRESO,Salario,Sí,Acreditación automática
TX070246,USR0612,2026-03-01,Pago de salario,3528.31,USD,INGRESO,Salario,Sí,Billetera digital
TX053416,USR0708,2026-03-24,Pago extraordinario,202.87,USD,GASTO,Otros,Sí,Billetera digital
TX051003,USR0857,2025-12-19,Compra de tecnología,351.04,USD,GASTO,Compras,No,Tarjeta de débito
TX068379,USR0501,2026-06-04,Sueldo mensual,7079.04,USD,INGRESO,Salario,Sí,Efectivo
TX004539,USR0558,2026-01-20,Compra de alimentos,33.66,USD,GASTO,Alimentación,No,Tarjeta de débito
TX068787,USR0525,2026-02-10,Sueldo mensual,4079.99,USD,INGRESO,Salario,Sí,Billetera digital
TX000959,USR0413,2026-06-29,Cafetería,161.9,USD,GASTO,Alimentación,No,Débito automático
TX041546,USR0041,2026-01-16,Agua,216.28,USD,GASTO,Servicios,Sí,Pago con QR
TX000127,USR0852,2026-04-01,Compra de alimentos,12.49,USD,GASTO,Alimentación,No,Tarjeta de débito
TX039879,USR0534,2026-07-07,Salida recreativa,112.31,USD,GASTO,Ocio,No,Pago con QR
TX000536,USR0583,2026-05-06,Almuerzo,123.28,USD,GASTO,Alimentación,No,Transferencia bancaria
TX013590,USR0517,2025-11-29,Seguro de salud,278.29,USD,GASTO,Salud,Sí,Pago con QR
TX055555,USR0850,2026-04-28,Gasto eventual,194.11,USD,GASTO,Otros,No,Efectivo
TX026294,USR0996,2025-11-25,Seguro del hogar,1307.46,USD,GASTO,Vivienda,Sí,Tarjeta de débito
TX034430,USR0760,2025-08-01,Parque recreativo,57.75,USD,GASTO,Ocio,No,Billetera digital
TX052696,USR0554,2026-01-29,Compra de ropa,515.47,USD,GASTO,Compras,No,Transferencia bancaria
TX044363,USR0336,2025-08-25,Pago de impuestos,71.69,USD,GASTO,Servicios,No,Tarjeta de crédito
TX013866,USR0667,2026-05-10,Lentes,500,USD,GASTO,Salud,No,Transferencia bancaria
TX069471,USR0565,2025-09-03,Pago de salario,5492.17,USD,INGRESO,Salario,Sí,Billetera digital
TX076244,USR0966,2026-01-21,Ingreso por venta,1392.81,USD,INGRESO,Venta,No,Acreditación automática
TX023654,USR0350,2025-12-28,Servicio de limpieza,1287.72,USD,GASTO,Vivienda,No,Efectivo
TX008458,USR0120,2025-08-02,Estacionamiento,45.93,USD,GASTO,Transporte,No,Efectivo
TX018330,USR0068,2025-08-18,Seguro de salud,500,USD,GASTO,Salud,Sí,Tarjeta de débito
TX004922,USR0084,2025-08-27,Compra de alimentos,79.21,USD,GASTO,Alimentación,No,Débito automático
TX008467,USR0849,2025-12-28,Combustible,88.92,USD,GASTO,Transporte,Sí,Efectivo
TX075264,USR0906,2025-08-02,Pago del empleador,2955.33,USD,INGRESO,Salario,Sí,Acreditación automática
TX035672,USR0767,2025-08-28,Hobby,88.77,USD,GASTO,Ocio,Sí,Débito automático
TX013973,USR0793,2026-04-17,Medicamentos,145.11,USD,GASTO,Salud,No,Débito automático
TX053488,USR0245,2026-04-06,Transferencia enviada,500,USD,GASTO,Otros,No,Pago con QR
TX075815,USR0941,2025-08-04,Pago de nómina,5965.27,USD,INGRESO,Salario,Sí,Billetera digital
TX020305,USR0129,2026-06-02,Mantenimiento del hogar,1466.99,USD,GASTO,Vivienda,No,Transferencia bancaria
TX000284,USR0700,2025-11-17,Restaurante,172.75,USD,GASTO,Alimentación,Sí,Tarjeta de débito
TX007206,USR0033,2026-01-03,Estacionamiento,11.9,USD,GASTO,Transporte,No,Billetera digital
TX032312,USR0318,2025-12-26,Cuota educativa,334.88,USD,GASTO,Educación,Sí,Tarjeta de débito
TX050766,USR0616,2025-09-16,Compra de calzado,290.28,USD,GASTO,Compras,No,Tarjeta de crédito
TX030468,USR0725,2026-05-23,Material de estudio,1000,USD,GASTO,Educación,No,Pago con QR
TX035356,USR0325,2026-01-17,Servicio de streaming,101.53,USD,GASTO,Ocio,Sí,Billetera digital
TX057021,USR0043,2025-11-07,Retiro de efectivo,236.96,USD,GASTO,Otros,No,Transferencia bancaria
TX052650,USR0443,2026-06-05,Artículos personales,1000,USD,GASTO,Compras,No,Transferencia bancaria
TX042588,USR0691,2026-05-31,Pago de impuestos,235.55,USD,GASTO,Servicios,No,Transferencia bancaria
TX006593,USR0021,2025-09-08,Almuerzo,13.76,USD,GASTO,Alimentación,No,Débito automático
TX046421,USR0985,2026-02-06,Telefonía móvil,198.98,USD,GASTO,Servicios,Sí,Transferencia bancaria
TX007502,USR0980,2025-09-18,Transporte público,180,USD,GASTO,Transporte,No,Tarjeta de débito
TX014520,USR0628,2026-01-02,Odontología,200.82,USD,GASTO,Salud,No,Débito automático
TX029162,USR0331,2026-05-22,Compra de libros,394.71,USD,GASTO,Educación,Sí,Tarjeta de débito
TX003085,USR0150,2025-08-19,Comida a domicilio,200,USD,GASTO,Alimentación,No,Pago con QR
TX057072,USR0829,2025-09-06,Ajuste de cuenta,500,USD,GASTO,Otros,No,Transferencia bancaria
TX053754,USR0944,2026-05-09,Retiro de efectivo,87.97,USD,GASTO,Otros,Sí,Tarjeta de crédito
TX069252,USR0552,2025-10-02,Depósito de haberes,4143.94,USD,INGRESO,Salario,Sí,Transferencia bancaria
TX055955,USR0757,2025-10-12,Gasto eventual,170.15,USD,GASTO,Otros,No,Tarjeta de crédito
TX019835,USR0810,2026-06-15,Medicamentos,136.64,USD,GASTO,Salud,Sí,Débito automático
TX072607,USR0750,2026-05-12,Pago recibido por venta,1136.23,USD,INGRESO,Venta,No,Efectivo
TX019547,USR0381,2025-07-27,Kinesiología,500,USD,GASTO,Salud,No,Débito automático
TX050180,USR0153,2026-02-12,Compra para mascotas,202.81,USD,GASTO,Compras,No,Pago con QR
TX051888,USR0313,2026-06-15,Compra de electrodoméstico,1000,USD,GASTO,Compras,No,Tarjeta de débito
TX008437,USR0039,2026-01-28,Peaje,6.82,USD,GASTO,Transporte,No,Débito automático
TX064660,USR0279,2026-02-08,Cobro de sueldo,1435.32,USD,INGRESO,Salario,Sí,Acreditación automática
TX020394,USR0851,2025-11-02,Reparación de electrodoméstico,763.34,USD,GASTO,Vivienda,No,Billetera digital
TX037232,USR0251,2026-06-09,Parque recreativo,78.3,USD,GASTO,Ocio,No,Efectivo
TX048493,USR0565,2026-03-30,Compra de calzado,562.16,USD,GASTO,Compras,Sí,Billetera digital
TX000495,USR0086,2026-05-06,Comida a domicilio,200,USD,GASTO,Alimentación,No,Tarjeta de débito
TX042265,USR0364,2025-08-07,Servicio de seguridad,75.26,USD,GASTO,Servicios,No,Efectivo
TX062362,USR0142,2026-04-01,Depósito de haberes,4621.19,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX067738,USR0462,2026-02-07,Cobro de cliente,239.96,USD,INGRESO,Venta,No,Billetera digital
TX026228,USR0637,2025-08-02,Alquiler,2000,USD,GASTO,Vivienda,Sí,Transferencia bancaria
TX035220,USR0327,2026-05-09,Entrada de cine,300,USD,GASTO,Ocio,No,Billetera digital
TX036457,USR0006,2026-07-01,Videojuego,123.61,USD,GASTO,Ocio,No,Efectivo
TX071204,USR0669,2025-12-21,Devolución por cancelación,252.57,USD,INGRESO,Reintegro,No,Depósito en cuenta
TX018278,USR0831,2026-03-25,Farmacia,500,USD,GASTO,Salud,No,Tarjeta de débito
TX000865,USR0394,2025-09-13,Almuerzo,129.02,USD,GASTO,Alimentación,No,Tarjeta de débito
TX017062,USR0227,2025-12-04,Farmacia,500,USD,GASTO,Salud,Sí,Tarjeta de crédito
TX061802,USR0106,2026-04-12,Crédito por devolución,220.62,USD,INGRESO,Reintegro,No,Depósito en cuenta
TX042338,USR0230,2025-08-21,Servicio de internet,10,USD,GASTO,Servicios,Sí,Tarjeta de débito
TX018587,USR0930,2026-04-23,Terapia,500,USD,GASTO,Salud,No,Tarjeta de crédito
TX073853,USR0823,2026-02-26,Transferencia entrante,594.57,USD,INGRESO,Transferencia recibida,No,Billetera digital
TX042294,USR0742,2025-10-19,Servicio de mantenimiento,373.13,USD,GASTO,Servicios,No,Efectivo
TX006757,USR0646,2026-04-17,Carga de tarjeta de transporte,42.54,USD,GASTO,Transporte,No,Efectivo
TX034485,USR0176,2025-12-18,Evento cultural,77.12,USD,GASTO,Ocio,No,Tarjeta de débito
TX048546,USR0126,2025-08-31,Compra de tecnología,1000,USD,GASTO,Compras,No,Tarjeta de crédito
TX019131,USR0473,2026-02-13,Odontología,289.9,USD,GASTO,Salud,No,Tarjeta de crédito
TX020666,USR0241,2025-08-22,Reparación del hogar,1575.34,USD,GASTO,Vivienda,No,Billetera digital
TX028568,USR0532,2025-08-04,Certificación profesional,585.59,USD,GASTO,Educación,No,Transferencia bancaria
TX071113,USR0664,2025-12-10,Acreditación de salario,2728.23,USD,INGRESO,Salario,Sí,Transferencia bancaria
TX025621,USR0908,2026-03-21,Expensas,2000,USD,GASTO,Vivienda,Sí,Billetera digital
TX004332,USR0776,2026-03-02,Restaurante,64.36,USD,GASTO,Alimentación,No,Pago con QR
TX051114,USR0791,2026-05-17,Compra de accesorios,155.75,USD,GASTO,Compras,No,Pago con QR
TX019793,USR0475,2026-05-28,Seguro de salud,43.88,USD,GASTO,Salud,Sí,Billetera digital
TX061172,USR0070,2026-02-06,Depósito de haberes,2898.18,USD,INGRESO,Salario,Sí,Transferencia bancaria
TX014699,USR0313,2026-03-29,Odontología,253.97,USD,GASTO,Salud,No,Débito automático
TX054002,USR0474,2025-12-19,Transferencia enviada,445.48,USD,GASTO,Otros,No,Billetera digital
TX024804,USR0729,2026-05-21,Servicio de limpieza,1802.64,USD,GASTO,Vivienda,No,Tarjeta de débito
TX073851,USR0823,2025-08-06,Pago de salario,1480.57,USD,INGRESO,Salario,Sí,Acreditación automática
TX047556,USR0747,2025-10-12,Compra de tecnología,100.04,USD,GASTO,Compras,No,Billetera digital
TX012165,USR0279,2025-07-31,Pasaje de tren,88.94,USD,GASTO,Transporte,No,Tarjeta de crédito
TX028896,USR0570,2026-06-11,Curso online,724.98,USD,GASTO,Educación,No,Efectivo
TX020786,USR0333,2026-02-28,Materiales de construcción,1274.02,USD,GASTO,Vivienda,Sí,Débito automático
TX010822,USR0199,2025-12-19,Combustible,59.76,USD,GASTO,Transporte,Sí,Billetera digital
TX073641,USR0811,2025-12-05,Depósito de haberes,5206.54,USD,INGRESO,Salario,Sí,Billetera digital
TX074964,USR0887,2026-01-09,Sueldo mensual,2113.65,USD,INGRESO,Salario,Sí,Depósito en cuenta
TX025407,USR1000,2026-02-24,Seguro del hogar,510.2,USD,GASTO,Vivienda,Sí,Efectivo
TX014971,USR0113,2026-07-15,Estudio médico,450.35,USD,GASTO,Salud,No,Transferencia bancaria
TX049119,USR0256,2026-01-14,Compra para mascotas,374.72,USD,GASTO,Compras,No,Tarjeta de débito
TX069896,USR0591,2026-05-01,Remuneración mensual,6235.9,USD,INGRESO,Salario,Sí,Transferencia bancaria
TX002474,USR0316,2026-03-18,Cena,160.4,USD,GASTO,Alimentación,No,Débito automático
TX011174,USR0877,2025-11-26,Estacionamiento,164.07,USD,GASTO,Transporte,No,Efectivo
TX003042,USR0125,2025-12-15,Cafetería,200,USD,GASTO,Alimentación,No,Débito automático
TX035381,USR0126,2026-06-25,Servicio de streaming,158.52,USD,GASTO,Ocio,Sí,Transferencia bancaria
TX025162,USR0907,2026-06-17,Servicio de limpieza,1162.54,USD,GASTO,Vivienda,Sí,Tarjeta de crédito
TX073395,USR0797,2026-07-06,Pago de nómina,6873.91,USD,INGRESO,Salario,Sí,Billetera digital
TX031319,USR0373,2026-02-21,Cuota educativa,837.1,USD,GASTO,Educación,Sí,Tarjeta de crédito
TX004594,USR0638,2026-07-09,Almuerzo,45.91,USD,GASTO,Alimentación,Sí,Transferencia bancaria
TX056717,USR0486,2026-05-24,Otro gasto,362.45,USD,GASTO,Otros,No,Débito automático
TX042720,USR0242,2025-07-23,Telefonía fija,183.65,USD,GASTO,Servicios,Sí,Pago con QR
TX048729,USR0124,2025-12-14,Compra de cosmética,227.7,USD,GASTO,Compras,No,Efectivo
TX028319,USR0143,2026-07-13,Capacitación,247.89,USD,GASTO,Educación,No,Tarjeta de débito
TX065184,USR0310,2025-11-02,Pago de salario,3083.13,USD,INGRESO,Salario,Sí,Depósito en cuenta
